ticker,date,date_ym,date_raw,title,text,url,source_page
UNKL,2025-06-20,2025-06,20.06.25,Путин выступит на ПМЭФ - основные события 20 июня,Сегодня начнут действовать новые базы расчета индексов Мосбиржи,https://www.finam.ru/publications/item/putin-vystupit-na-pmef-osnovnye-sobytiya-20-iyunya-20250620-0900/,https://www.finam.ru/quote/moex/unkl/publications/
UNKL,2025-06-20,2025-06,20.06.25,“Комбинат Южуралникель” 20 июня проведет ГОСА по дивидендам,Дата закрытия реестра - 30 мая,https://www.finam.ru/publications/item/kombinat-yuzhuralnikel-20-iyunya-provedet-gosa-po-dividendam-20250620-0400/,https://www.finam.ru/quote/moex/unkl/publications/
UNKL,2025-05-30,2025-05,30.05.25,"Отчеты по МСФО представят ВТБ, SFI, ""Интер РАО"" и ""Аэрофлот"" - основные события 30 мая","Также отчетность может опубликовать ""Газпром""",https://www.finam.ru/publications/item/gazprom-mozhet-opublikovat-otchet-za-1-kvartal-osnovnye-sobytiya-30-maya-20250530-0900/,https://www.finam.ru/quote/moex/unkl/publications/
UNKL,2024-06-07,2024-06,07.06.24,Комбинат Южуралникель ПАО - Годовое общее собрание акционеров - ИТОГИ,,https://www.finam.ru/publications/item/kombinat-yuzhuralnikel-pao-godovoe-obshchee-sobranie-aktsionerov-itogi-20240607-0224/,https://www.finam.ru/quote/moex/unkl/publications/
UNKL,2024-06-05,2024-06,05.06.24,Комбинат Южуралникель ПАО - Годовое общее собрание акционеров - ИТОГИ,,https://www.finam.ru/publications/item/kombinat-yuzhuralnikel-pao-godovoe-obshchee-sobranie-aktsionerov-itogi-20240605-0214/,https://www.finam.ru/quote/moex/unkl/publications/
UNKL,2024-05-09,2024-05,09.05.24,Комбинат Южуралникель ПАО - Годовое общее собрание акционеров,,https://www.finam.ru/publications/item/kombinat-yuzhuralnikel-pao-godovoe-obshchee-sobranie-aktsionerov-20240509-0223/,https://www.finam.ru/quote/moex/unkl/publications/
UNKL,2024-05-08,2024-05,08.05.24,Комбинат Южуралникель ПАО - Годовое общее собрание акционеров,,https://www.finam.ru/publications/item/kombinat-yuzhuralnikel-pao-godovoe-obshchee-sobranie-aktsionerov-20240508-0237/,https://www.finam.ru/quote/moex/unkl/publications/
UNKL,2024-04-26,2024-04,26.04.24,Комбинат Южуралникель ПАО - Информация,,https://www.finam.ru/publications/item/kombinat-yuzhuralnikel-pao-informatsiya-20240426-1825/,https://www.finam.ru/quote/moex/unkl/publications/
UNKL,2024-04-26,2024-04,26.04.24,Комбинат Южуралникель ПАО - Годовое общее собрание акционеров,,https://www.finam.ru/publications/item/kombinat-yuzhuralnikel-pao-godovoe-obshchee-sobranie-aktsionerov-20240426-0211/,https://www.finam.ru/quote/moex/unkl/publications/
UNKL,2023-05-02,2023-05,02.05.23,"ПАО ""Комбинат Южуралникель"" -""Годовое общее собрание акционеров"" ИТОГИ",,https://www.finam.ru/publications/item/-pao-kombinat-yuzhuralnikel---godovoe-obshchee-sobranie-aktsionerov-itogi-20230502-163719/,https://www.finam.ru/quote/moex/unkl/publications/
UNKL,2023-04-06,2023-04,06.04.23,"ПАО ""Комбинат Южуралникель"" -""Годовое общее собрание акционеров""",,https://www.finam.ru/publications/item/pao-kombinat-yuzhuralnikel---godovoe-obshchee-sobranie-aktsionerov--20230406-173112/,https://www.finam.ru/quote/moex/unkl/publications/
UNKL,2023-03-24,2023-03,24.03.23,"ПАО ""Комбинат Южуралникель"" -""Годовое общее собрание акционеров""",,https://www.finam.ru/publications/item/pao-kombinat-yuzhuralnikel---godovoe-obshchee-sobranie-aktsionerov--20230324-164920/,https://www.finam.ru/quote/moex/unkl/publications/
