ticker,date,date_ym,date_raw,title,text,url,source_page
UPRO,2026-02-02,2026-02,02.02.26,Операционная статистика электроэнергетиков пока утратила свою релевантность для рынка,"Компании продают электроэнергию, зарабатывают, но далее важно направление прибыли",https://www.finam.ru/publications/item/operatsionnaya-statistika-elektroenergetikov-poka-utratila-svoyu-relevantnost-dlya-rynka-20260202-1320/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2026-01-30,2026-01,30.01.26,"Энергетики тянут рынок вверх, акции золотодобытчиков рухнули вслед за ценами на драгметаллы",Индекс МосБиржи смог удержать отметку 2800 пунктов и немного подрастает,https://www.finam.ru/publications/item/energetiki-tyanut-rynok-vverkh-aktsii-zolotodobytchikov-rukhnuli-vsled-za-tsenami-na-dragmetally-20260130-1032/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2026-01-30,2026-01,30.01.26,"Станции «Юнипро» в 2025 году увеличили выработку электроэнергии на 3,2%",Объем производства тепловой энергии «Юнипро» в 2025 году упал на 6%,https://www.finam.ru/publications/item/stantsii-yunipro-v-2025-godu-uvelichili-vyrabotku-elektroenergii-na-32-20260130-1013/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2026-01-27,2026-01,27.01.26,Рынок завершает день ростом во главе с акциями сектора электроэнергетики,"Индекс МосБиржи прибавляет около 0,5%",https://www.finam.ru/publications/item/rynok-zavershaet-den-rostom-vo-glave-s-aktsiyami-sektora-elektroenergetiki-20260127-1940/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2026-01-27,2026-01,27.01.26,Рост золотодобытчиков сменился ралли в энергетике,В топе лидеров сегодня также угольщики,https://www.finam.ru/publications/item/rost-zolotodobytchikov-smenilsya-ralli-v-energetike-20260127-1450/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2026-01-16,2026-01,16.01.26,Российский рынок растет во главе с акциями энергетических компаний,Бумаги «ВУШ Холдинга» падают почти на 2% после резкого роста днем ранее,https://www.finam.ru/publications/item/rossiyskiy-rynok-rastet-vo-glave-s-aktsiyami-energeticheskikh-kompaniy-20260116-0820/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2026-01-15,2026-01,15.01.26,Динамика выработки не так важна для энергетических компаний,Основной фактор — способность генерировать свободные денежные потоки и готовность направлять их на дивиденды,https://www.finam.ru/publications/item/dinamika-vyrabotki-ne-tak-vazhna-dlya-energeticheskikh-kompaniy-20260115-1430/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-12-30,2025-12,30.12.25,«Юнипро» завершила модернизацию энергоблока №4 Сургутской ГРЭС-2,До конца 2026 года на станции начнется модернизация энергоблока №2,https://www.finam.ru/publications/item/yunipro-zavershila-modernizatsiyu-energobloka-4-surgutskoy-gres-2-20251230-1511/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-12-29,2025-12,29.12.25,"""Юнипро"" и ""Газпром"" - потенциальные бенефициары мирного соглашения",Конец 2025 года будет для российского рынка позитивным,https://www.finam.ru/publications/item/yunipro-i-gazprom-potentsialnye-benefitsiary-mirnogo-soglasheniya-20251229-1335/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-12-19,2025-12,19.12.25,Лучшие акции-бенефициары потенциального мира,"Не факт, что компании получат реальный операционный буст, но рынок будет закладывать позитив в цену",https://www.finam.ru/publications/item/luchshie-aktsii-pod-okonchanie-svo-20251219-1100/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-12-12,2025-12,12.12.25,"День инвестора «Интер РАО», публикация отчета «Аэрофлота» за ноябрь – основные события 12 декабря","Последний день с дивидендами торгуются акции «Европлана», «Займера»",https://www.finam.ru/publications/item/den-investora-inter-rao-publikatsiya-otcheta-aeroflota-za-noyabr-osnovnye-sobytiya-12-dekabrya-20251212-0900/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-12-12,2025-12,12.12.25,12 декабря совет директоров «Юнипро» планирует утвердить бюджет на 2026-2028 годы в формате МСФО,Также в повестке заседания стоит вопрос рассмотрения ежегодного отчета о работе корпоративной системы управления рисками,https://www.finam.ru/publications/item/12-sovet-direktorov-yunipro-planiruet-utverdit-byudzhet-na-2026-2028-gody-v-formate-msfo-20251212-0200/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-12-05,2025-12,05.12.25,На чем растут электроэнергетики,Инвесторы ждут дивиденды?,https://www.finam.ru/publications/item/na-chem-rastut-elektroenergetiki-20251205-1350/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-11-27,2025-11,27.11.25,Рынок потерял надежды на скорый мир,"Путин заявил, что подписывать мирное соглашение с украинским руководством сейчас бессмысленно",https://www.finam.ru/publications/item/rynok-poteryal-nadezhdy-na-skoryy-mir-20251127-2115/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-11-27,2025-11,27.11.25,Геополитические качели снова уронили российские акции,Данные по годовой инфляции повышают шансы снижения ключевой ставки ЦБ в декабре,https://www.finam.ru/publications/item/geopoliticheskie-kacheli-snova-kachnuli-rossiyskie-aktsii-vniz-20251127-1906/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-11-27,2025-11,27.11.25,Российский рынок во власти геополитических ожиданий,Эксперты не ждут возвращения к росту на этой неделе,https://www.finam.ru/publications/item/rossiyskiy-rynok-vo-vlasti-geopoliticheskikh-ozhidaniy-20251127-1505/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-11-27,2025-11,27.11.25,Новые компании в индексе МосБиржи - что это значит для акций,"В индексы МосБиржи и РТС войдут бумаги ""Озона"", ""ДОМ.РФ"" и ""ЦИАНа""",https://www.finam.ru/publications/item/novye-kompanii-v-indekse-mosbirzhi-chto-eto-znachit-dlya-aktsiy-20251127-1232/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-11-27,2025-11,27.11.25,"Акции “ДОМ.РФ”, “Озон” и “ЦИАН” войдут в индекс МосБиржи с 19 декабря",Акции “Юнипро” будут исключены из индекса,https://www.finam.ru/publications/item/aktsii-domrf-ozon-i-tsian-voydut-v-indeks-mosbirzhi-20251127-0937/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-11-24,2025-11,24.11.25,"Индекс МосБиржи замедлил рост, но остается выше 2700 пунктов",Бумаги НКХП растут на 15% на ожиданиях возобновления «зерновой сделки» в Черном море,https://www.finam.ru/publications/item/indeks-mosbirzhi-zamedlil-rost-no-ostaetsya-vyshe-2700-punktov-20251124-1015/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-11-21,2025-11,21.11.25,"В позитивном сценарии индекс МосБиржи к концу года достигнет 3200 пунктов, RGBI - 125","Но в реальности все может быть гораздо сложнее, рынок будет реагировать повышенной волатильностью",https://www.finam.ru/publications/item/v-pozitivnom-stsenarii-indeks-mosbirzhi-k-kontsu-goda-dostignet-3200-punktov-rgbi-125-20251121-1018/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-11-12,2025-11,12.11.25,"Ухудшение раскрытия данных ""Юнипро"" расстраивает","Возможно, это было сделано, чтобы не раскрывать сведения по инвестрасходам",https://www.finam.ru/publications/item/ukhudshenie-raskrytiya-dannykh-yunipro-rasstraivaet-20251112-1350/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-11-11,2025-11,11.11.25,Налоговые послабления улучшили настроения инвесторов,"Минфин не поддержал законопроект о налоге на сверхприбыль банков. Госдума приняла закон, освобождающий от НДС выплату процентов по вкладам в драгметаллах",https://www.finam.ru/publications/item/nalogovye-poslableniya-uluchshili-nastroeniya-investorov-20251111-1925/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-11-11,2025-11,11.11.25,"Чистая прибыль «Юнипро» по РСБУ за 9 месяцев 2025 года снизилась на 9,8%","Выручка компании в отчетном периоде увеличилась на 3,7%",https://www.finam.ru/publications/item/chistaya-pribyl-yunipro-po-rsbu-za-9-mesyatsev-2025-goda-snizilas-na-98-20251111-1148/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-11-11,2025-11,11.11.25,"""Озон"" возвращается на биржу, ""Аэрофлот"" отчитается за октябрь - основные события",Совет директоров «ЭЛ5-Энерго» обсудит цену выкупа акций,https://www.finam.ru/publications/item/ozon-vozvrashchaetsya-na-birzhu-aeroflot-otchitaetsya-za-oktyabr-osnovnye-sobytiya-20251111-0900/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-10-30,2025-10,30.10.25,"Станции ""Юнипро"" за 9 месяцев 2025 года увеличили выработку электроэнергии на 5,8%","Производство тепловой энергии снизилось на 12,5%",https://www.finam.ru/publications/item/stantsii-yunipro-za-9-mesyatsev-2025-goda-uvelichili-vyrabotku-elektroenergii-na-58-20251030-1348/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-10-24,2025-10,24.10.25,ЦБ примет решение по ставке - основные события 24 октября,ВТБ отчитается за 9 месяцев,https://www.finam.ru/publications/item/tsb-primet-reshenie-po-stavke-osnovnye-sobytiya-24-oktyabrya-20251024-0900/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-10-24,2025-10,24.10.25,"Совет директоров ""Юнипро"" проведет заседание 24 октября",В повестке - инвестиционные проекты,https://www.finam.ru/publications/item/sovet-direktorov-yunipro-provedet-zasedanie-24-oktyabrya-20251024-0646/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-10-23,2025-10,23.10.25,Шесть компаний с наибольшей денежной подушкой,Какие из них наиболее привлекательны,https://www.finam.ru/publications/item/shest-kompaniy-s-naibolshey-denezhnoy-podushkoy-20251023-1532/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-10-01,2025-10,01.10.25,Прибыли электрогенерирующих компаний будут расти,Индексация тарифов на мощность должна привести к росту финансовых показателей,https://www.finam.ru/publications/item/pribyli-elektrogeneriruyushchikh-kompaniy-budut-rasti-20251001-1300/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-09-30,2025-09,30.09.25,Как корректировка налогов повлияет на инвестиционную составляющую рынка,Новые возможности для инвестиций,https://www.finam.ru/publications/item/kak-korrektirovka-nalogov-povliyaet-na-investitsionnuyu-sostavlyayushchuyu-rynka-20250930-1445/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-09-25,2025-09,25.09.25,"Индексация тарифов на электроэнергию играет важную роль для ""ФСК-Россети"" и ее ""дочек""","Рост тарифов означает рост выручки, но эффект на прибыль будет зависеть от динамики издержек",https://www.finam.ru/publications/item/indeksatsiya-tarifov-na-elektroenergiyu-igraet-vazhnuyu-rol-dlya-fsk-rosseti-i-ee-dochek-20250925-1050/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-09-19,2025-09,19.09.25,Акции «ИКС 5» станут «голубыми фишками» – основные события 19 сентября,Мосбиржа проведет ребалансировку индексов,https://www.finam.ru/publications/item/aktsii-iks-5-stanut-golubymi-fishkami-osnovnye-sobytiya-19-sentyabrya-20250919-0900/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-09-17,2025-09,17.09.25,"Акциям ""Юнипро"" все еще не хватает дивидендов",Это ограничивает влияние сильных финансовых результатов на котировки,https://www.finam.ru/publications/item/aktsiyam-yunipro-vse-eshche-ne-khvataet-dividendov-20250917-1555/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-08-29,2025-08,29.08.25,Акции X5 войдут в базу расчета индекса МосБиржи с 19 сентября,"При этом бумаги «Астры», «РусГидро» и «Россетей» исключат из базы расчета индекса МосБиржи",https://www.finam.ru/publications/item/aktsii-x5-voydut-v-bazu-rascheta-indeksa-mosbirzhi-s-19-sentyabrya-20250829-0927/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-08-21,2025-08,21.08.25,Отчетности «Т-Технологий» и «Софтлайна» - основные события 21 августа,"Кроме того, советы директоров «НОВАТЭКа» и «Юнипро» дадут рекомендации по дивидендам",https://www.finam.ru/publications/item/otchetnosti-t-tekhnologiy-i-softlayna-osnovnye-sobytiya-21-avgusta-20250821-0900/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-08-21,2025-08,21.08.25,Совет директоров «Юнипро» 21 августа обсудит изменения в инвестпроекте,Также будет рассматриваться вопрос внесения изменений в бюджет на 2025-2027 годы,https://www.finam.ru/publications/item/sovet-direktorov-yunipro-21-avgusta-obsudit-izmeneniya-v-investproekte-20250821-0319/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-08-20,2025-08,20.08.25,Кто выиграет от снятия санкций - актуальный расклад,"Прилив поднимет все лодки, но есть прямые бенефициары мира",https://www.finam.ru/publications/item/kto-vyigraet-ot-snyatiya-sanktsiy-aktualnyy-rasklad-20250820-1410/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-08-18,2025-08,18.08.25,"""Юнипро"" - как сильная компания застряла в вечном ""боковике""","""Юнипро"" — неплохая компания. Но она не смогла вовремя перестроиться и пострадала от геополитики",https://www.finam.ru/publications/item/yunipro-kak-silnaya-kompaniya-zastryala-v-vechnom-bokovike-20250818-1925/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-08-17,2025-08,17.08.25,Воскресная сессия на российском рынке акций прошла под главенством «медведей»,"По итогам сессии индекс МосБиржи ушел в минус на 2,23%",https://www.finam.ru/publications/item/voskresnaya-sessiya-na-rossiyskom-rynke-aktsiy-proshla-pod-glavenstvom-medvedey-20250817-1942/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-08-17,2025-08,17.08.25,Пессимизм на российском рынке сохраняется,"Индекс МосБиржи снижается на 2,06%",https://www.finam.ru/publications/item/pessimizm-na-rossiyskom-rynke-sokhranyaetsya-20250817-1028/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-08-16,2025-08,16.08.25,Индекс МосБиржи по итогам субботних торгов упал в район 2950 пунктов,"«Газпром», ММК и НЛМК потеряли более чем по 3%",https://www.finam.ru/publications/item/indeks-mosbirzhi-po-itogam-subbotnikh-torgov-upal-v-rayon-2950-punktov-20250816-1944/,https://www.finam.ru/quote/moex/upro/publications/
UPRO,2025-08-14,2025-08,14.08.25,"Топ-5 акций, которые выиграют от переговоров Трампа и Путина","Акции, которые могут дать шикарные доходности",https://www.finam.ru/publications/item/top-5-aktsiy-kotorye-vyigrayut-ot-peregovorov-trampa-i-putina-20250814-1100/,https://www.finam.ru/quote/moex/upro/publications/
