ticker,date,date_ym,date_raw,title,text,url,source_page
YAKG,2025-10-29,2025-10,29.10.25,ЯТЭК займется энергоснабжением ЦОД,ЯТЭК приостанавливает проект «Якутский СПГ» и пересматривает стратегию развития с учетом современных экономических реалий и технологических трендов,https://www.finam.ru/publications/item/yatek-zaymetsya-zaymetsya-energosnabzheniem-tsod-20251029-0833/,https://www.finam.ru/quote/moex/yakg/publications/
YAKG,2025-06-23,2025-06,23.06.25,Акционеры ЯТЭК решили не выплачивать дивиденды-2024,Прибыль решено оставить в распоряжении общества,https://www.finam.ru/publications/item/aktsionery-yatek-reshili-ne-vyplachivat-dividendy-2024-20250623-2031/,https://www.finam.ru/quote/moex/yakg/publications/
YAKG,2025-04-17,2025-04,17.04.25,"""ЯТЭК"" выкупила по оферте облигации на 4,9 млрд рублей","""Якутская топливно-энергетическая компания"" выкупила в рамках оферты 4 939 203 облигации серии 001Р-03",https://bonds.finam.ru/news/item/-yatek-vykupila-po-oferte-obligatsii-na-4-9-mlrd-rubley/,https://www.finam.ru/quote/moex/yakg/publications/
YAKG,2025-04-11,2025-04,11.04.25,"""ЯТЭК"" разместил биржевые облигации на 5,5 млрд рублей","Эмитент реализовал по открытой подписке 5,5 млн. облигаций серии 001Р-06 номинальной стоимостью 1000 рублей каждая",https://bonds.finam.ru/news/item/-yatek-razmestil-birzhevye-obligatsii-na-5-5-mlrd-rubley/,https://www.finam.ru/quote/moex/yakg/publications/
YAKG,2025-04-09,2025-04,09.04.25,"Значение спреда по облигациям ""ЯТЭК"" объемом 5,5 млрд рублей составит 4,25% годовых",Первоначальный ориентир спреда - не выше 500 б.п.,https://bonds.finam.ru/news/item/znachenie-spreda-po-obligatsiam-yatek-obemom-5-5-mlrd-rubley-sostavit-4-25-godovykh/,https://www.finam.ru/quote/moex/yakg/publications/
YAKG,2025-04-04,2025-04,04.04.25,"Ставка 7-12-го купонов по облигациям ""ЯТЭК"" серии 001Р-03 составит 15,35% годовых","Выпуск номинальным объемом 6 млрд. рублей был размещен в 2023 году с погашением в 2026 году. Ставка квартального купона на шестой купонный период составляет 15,35% годовых",https://bonds.finam.ru/news/item/stavka-7-12-go-kuponov-po-obligatsiam-yatek-serii-001r-03-sostavit-15-35-godovykh/,https://www.finam.ru/quote/moex/yakg/publications/
YAKG,2025-03-31,2025-03,31.03.25,"""ЯТЭК"" 8 апреля проведет сбор заявок на облигации объемом 5,5 млрд рублей",Купонный доход по облигациям определяется как сумма доходов за каждый день купонного периода по формуле ключевая ставка ЦБ РФ + спред,https://bonds.finam.ru/news/item/-yatek-8-aprelya-provedet-sbor-zayavok-na-obligatsii-obemom-5-5-mlrd-rubley/,https://www.finam.ru/quote/moex/yakg/publications/
YAKG,2025-03-27,2025-03,27.03.25,"""ЯТЭК"" увеличила объем программы биржевых облигаций до 35 млрд рублей","Московская Биржа 26 марта зарегистрировала изменения в проспект и в программу биржевых облигаций ПАО ""Якутская топливно-энергетическая компания"" серии 001Р",https://bonds.finam.ru/news/item/-yatek-uvelichila-obem-programmy-birzhevykh-obligatsiy-do-35-mlrd-rubley/,https://www.finam.ru/quote/moex/yakg/publications/
YAKG,2025-03-17,2025-03,17.03.25,"""ЯТЭК"" 8 апреля проведет сбор заявок на два выпуска облигаций","Планируемый объем размещения - 5,5 млрд. рублей",https://bonds.finam.ru/news/item/-yatek-/,https://www.finam.ru/quote/moex/yakg/publications/
YAKG,2024-09-30,2024-09,30.09.24,"""ЯТЭК"" разместил биржевые облигации на 1,5 млрд рублей","Эмитент реализовал по открытой подписке 1,5 млн. облигаций серии 001Р-04 номинальной стоимостью 1000 рублей каждая",https://bonds.finam.ru/news/item/-yatek-razmestil-birzhevye-obligatsii-na-1-5-mlrd-rubley/,https://www.finam.ru/quote/moex/yakg/publications/
