figi,ticker,name,issue_size,currency,uid,assetUid
BBG004S68CV8,VSMO,ВСМПО-АВИСМА,11529538,,e9139ddd-bf3c-4d03-a94f-ffdf7234c6be,f712e646-7c5d-4266-aabd-a18c9c65a7e2
BBG000Q7ZZY2,UNAC,Объединенная авиастроительная корпорация,1009366990290,,43666aea-a4df-46e1-a815-e5eccbc1fb3f,68af184b-07c1-4f27-8889-62d869f9dc0e
TCS00A10ANA1,CNRU,Циан,77670490,,b125d6c0-e90b-49be-8b75-f7e1990250a0,8c1ee6c2-b233-492a-844b-871ad85296f0
TCS00A106YF0,VKCO,ВК,572904180,,b71bd174-c72c-41b0-a66f-5f9073e0d1f5,f0a6fe09-3981-4501-a8f5-91821935e4d4
BBG004RVFCY3,MGNT,Магнит,101911355,,ca845f68-6c43-44bc-b584-330d2a1e5eb7,4833e124-265f-4879-adc8-58bdf983f54e
TCS009124010,KZIZ,Красногорский завод им. С.А. Зверева - ао,6333458,,0f3165ef-3b53-4bc0-a4c8-19d0016b0b6d,57f975c5-abf2-4660-a2d8-82fd070896f0
TCS00A105EX7,WUSH,Whoosh,111382432,,b993e814-9986-4434-ae88-b086066714a0,dca70560-9c9f-4fff-98e8-ba7dc78da7cc
TCS00A0JPP37,UGLD,Южуралзолото ГК,222778849052,,48bd9002-43be-4528-abf4-dc8135ad4550,27cee80c-18f8-450f-a1a2-8b0002f40358
BBG000SK7JS5,LNZL,Лензолото,1140300,,4563f7a1-8245-4caf-aba5-ac49827ba775,c6afcf42-d81f-4c8a-86de-aa302b20f171
BBG002458LF8,SELG,Селигдар,1030000000,,0d28c01b-f841-4e89-9c92-0ee23d12883a,d4e13625-5533-401e-8027-6e6d8305aa36
TCS009086904,SLAV,Славнефть,4754238000,,2c69924a-fcf4-4d3c-8c02-02cd665f554d,fdc25807-6e48-4ae8-997f-400164c322d8
TCS00A0JNXF9,PRFN,ЧЗПСН-Профнастил,838287450,,16bb8ed3-2cb1-4d89-8f04-afe0b34e21d0,447f6b00-b6ea-4f47-8cd8-eb23d1d71647
TCS00A105NV2,CARM,КарМани,2917616015,,330a4507-03f9-4f8d-8303-492ba09cccba,1128b5b8-9256-4788-94be-27bbe9a898d4
BBG008F2T3T2,RUAL,РУСАЛ,15193014862,,f866872b-8f68-4b6e-930f-749fe9aa79c0,7d1ad8e7-9a2d-48fe-8c62-c92564d54e11
BBG00BGKYH17,NKHP,НКХП,67597000,,d0b3723c-35f8-497c-97f7-345bbcfbf1e1,11da2c0b-9bf5-4801-9da8-998b329254de
TCS00A0F61T7,TGKJ,Форвард Энерго,880387078,,0102d253-5095-499c-934e-5a5fd6fce00d,3941418c-804d-4f5f-8da5-c1867b83e6d7
