time,open,high,low,close,volume,is_complete
2025-12-10T00:00:00+00:00,97.0,106.4,97.0,101.26,524988,True
2025-12-11T00:00:00+00:00,102.28,105.0,100.0,103.98,188920,True
2025-12-12T00:00:00+00:00,105.8,107.72,103.56,105.8,81934,True
2025-12-15T00:00:00+00:00,107.5,107.8,105.36,106.04,26491,True
2025-12-16T00:00:00+00:00,106.4,107.46,105.38,105.94,15913,True
2025-12-17T00:00:00+00:00,106.52,107.94,106.3,107.88,36102,True
2025-12-18T00:00:00+00:00,108.02,108.5,106.66,108.38,38176,True
2025-12-19T00:00:00+00:00,108.38,108.9,103.0,106.7,17950,True
2025-12-22T00:00:00+00:00,106.72,108.18,103.72,105.0,19008,True
2025-12-23T00:00:00+00:00,105.0,106.3,103.1,105.1,13683,True
2025-12-24T00:00:00+00:00,105.98,106.36,103.62,105.4,8593,True
2025-12-25T00:00:00+00:00,105.4,106.86,104.24,105.0,15960,True
2025-12-26T00:00:00+00:00,105.04,107.5,105.0,105.96,22618,True
2025-12-29T00:00:00+00:00,105.98,107.76,102.44,104.0,28083,True
2025-12-30T00:00:00+00:00,104.0,107.0,104.0,105.8,12158,True
2026-01-05T00:00:00+00:00,105.8,106.48,104.12,105.0,2790,True
2026-01-06T00:00:00+00:00,105.0,105.72,104.04,104.3,3419,True
2026-01-08T00:00:00+00:00,104.3,104.7,103.54,103.7,5424,True
2026-01-09T00:00:00+00:00,103.8,104.88,103.78,104.0,2264,True
2026-01-12T00:00:00+00:00,105.0,105.18,104.0,104.5,7559,True
2026-01-13T00:00:00+00:00,104.58,105.0,103.9,104.16,5190,True
2026-01-14T00:00:00+00:00,103.0,104.98,103.0,104.98,15142,True
2026-01-15T00:00:00+00:00,105.02,105.5,104.28,105.46,11109,True
2026-01-16T00:00:00+00:00,106.0,112.56,105.3,107.1,132733,True
2026-01-17T00:00:00+00:00,107.4,108.5,105.0,106.52,8520,True
2026-01-18T00:00:00+00:00,107.12,107.88,106.18,107.3,5247,True
2026-01-19T00:00:00+00:00,107.9,108.22,105.06,106.0,31597,True
2026-01-20T00:00:00+00:00,105.52,109.0,105.1,106.98,20017,True
2026-01-21T00:00:00+00:00,106.92,107.5,105.0,106.96,31282,True
2026-01-22T00:00:00+00:00,107.0,107.96,106.0,107.0,35392,True
2026-01-23T00:00:00+00:00,107.64,109.1,107.0,107.96,46467,True
2026-01-24T00:00:00+00:00,108.68,108.68,107.12,107.98,2368,True
2026-01-25T00:00:00+00:00,107.16,108.5,107.16,107.96,2720,True
2026-01-26T00:00:00+00:00,107.1,109.98,107.1,108.66,22138,True
2026-01-27T00:00:00+00:00,108.5,110.3,108.02,109.18,50568,True
2026-01-28T00:00:00+00:00,111.9,114.78,109.48,113.56,101776,True
2026-01-29T00:00:00+00:00,113.48,114.38,111.14,111.62,99473,True
2026-01-30T00:00:00+00:00,111.56,112.16,110.38,110.88,27144,True
2026-01-31T00:00:00+00:00,110.88,112.72,110.88,112.36,2167,True
2026-02-01T00:00:00+00:00,112.9,114.2,112.36,114.0,6434,True
2026-02-02T00:00:00+00:00,114.0,115.14,111.5,114.5,112787,True
2026-02-03T00:00:00+00:00,114.5,134.96,114.5,122.64,202469,True
2026-02-04T00:00:00+00:00,122.7,124.86,118.0,121.22,98033,True
2026-02-05T00:00:00+00:00,120.96,122.46,116.9,119.42,58573,False
