time,open,high,low,close,volume,is_complete
2025-02-04T00:00:00+00:00,11.26,11.36,11.0,11.08,2257,True
2025-02-05T00:00:00+00:00,11.08,12.1,11.04,11.32,20564,True
2025-02-06T00:00:00+00:00,11.48,11.72,11.22,11.5,3883,True
2025-02-07T00:00:00+00:00,11.5,11.6,11.28,11.34,1480,True
2025-02-10T00:00:00+00:00,11.48,11.62,11.38,11.42,2305,True
2025-02-11T00:00:00+00:00,11.4,11.42,11.3,11.4,1537,True
2025-02-12T00:00:00+00:00,11.5,11.56,11.24,11.34,3712,True
2025-02-13T00:00:00+00:00,11.78,12.48,11.42,11.56,21526,True
2025-02-14T00:00:00+00:00,11.62,12.18,11.52,11.7,6518,True
2025-02-17T00:00:00+00:00,11.96,11.96,11.7,11.94,3423,True
2025-02-18T00:00:00+00:00,11.82,11.92,11.5,11.56,5467,True
2025-02-19T00:00:00+00:00,11.6,11.66,11.52,11.62,1298,True
2025-02-20T00:00:00+00:00,11.68,12.92,11.66,11.92,28279,True
2025-02-21T00:00:00+00:00,11.94,12.26,11.8,11.9,6093,True
2025-02-24T00:00:00+00:00,11.92,12.08,11.88,11.94,4607,True
2025-02-25T00:00:00+00:00,11.98,12.22,11.94,12.0,5129,True
2025-02-26T00:00:00+00:00,12.18,12.5,11.92,12.02,12339,True
2025-02-27T00:00:00+00:00,11.9,12.04,11.62,11.84,3787,True
2025-02-28T00:00:00+00:00,11.96,12.04,11.68,11.86,3372,True
2025-03-03T00:00:00+00:00,11.96,12.04,11.64,11.84,1579,True
2025-03-04T00:00:00+00:00,11.9,12.44,11.9,12.0,4279,True
2025-03-05T00:00:00+00:00,12.06,12.08,11.94,12.06,1628,True
2025-03-06T00:00:00+00:00,12.2,12.2,11.54,11.66,4796,True
2025-03-07T00:00:00+00:00,11.8,11.92,11.5,11.5,2262,True
2025-03-10T00:00:00+00:00,11.74,12.04,11.68,11.78,3194,True
2025-03-11T00:00:00+00:00,11.92,11.94,11.66,11.68,1698,True
2025-03-12T00:00:00+00:00,11.64,11.66,11.34,11.48,1564,True
2025-03-13T00:00:00+00:00,11.4,11.66,11.4,11.44,1381,True
2025-03-14T00:00:00+00:00,11.58,11.84,11.52,11.66,896,True
2025-03-17T00:00:00+00:00,11.78,11.98,11.74,11.76,1047,True
2025-03-18T00:00:00+00:00,11.8,11.98,11.72,11.78,1803,True
2025-03-19T00:00:00+00:00,11.78,12.08,11.56,11.78,3558,True
2025-03-20T00:00:00+00:00,11.98,11.98,11.38,11.6,2922,True
2025-03-21T00:00:00+00:00,11.74,11.74,11.46,11.5,714,True
2025-03-24T00:00:00+00:00,11.5,11.56,11.38,11.46,1039,True
2025-03-25T00:00:00+00:00,11.5,11.62,11.46,11.54,1181,True
2025-03-26T00:00:00+00:00,11.58,11.64,11.42,11.44,732,True
2025-03-27T00:00:00+00:00,11.4,11.46,11.24,11.24,1114,True
2025-03-28T00:00:00+00:00,11.2,11.2,10.76,10.82,3102,True
2025-03-31T00:00:00+00:00,10.8,10.8,10.54,10.64,1929,True
2025-04-01T00:00:00+00:00,10.78,10.98,10.7,10.88,1813,True
2025-04-02T00:00:00+00:00,10.8,10.9,10.72,10.72,769,True
2025-04-03T00:00:00+00:00,10.74,10.86,10.54,10.56,778,True
2025-04-04T00:00:00+00:00,10.7,10.7,10.08,10.2,2200,True
2025-04-07T00:00:00+00:00,10.0,10.16,9.9,9.98,2338,True
2025-04-08T00:00:00+00:00,10.1,10.86,10.08,10.28,2294,True
2025-04-09T00:00:00+00:00,10.96,10.96,9.98,10.08,1890,True
2025-04-10T00:00:00+00:00,10.34,10.88,10.18,10.26,1670,True
2025-04-11T00:00:00+00:00,10.46,10.56,10.26,10.26,1044,True
2025-04-14T00:00:00+00:00,10.32,10.42,10.26,10.26,799,True
2025-04-15T00:00:00+00:00,10.42,10.42,10.24,10.3,162,True
2025-04-16T00:00:00+00:00,10.26,10.5,10.24,10.44,982,True
2025-04-17T00:00:00+00:00,10.32,10.5,10.32,10.36,624,True
2025-04-18T00:00:00+00:00,10.32,10.44,10.28,10.34,421,True
2025-04-21T00:00:00+00:00,10.54,11.16,10.34,10.72,7079,True
2025-04-22T00:00:00+00:00,10.72,11.34,10.72,11.02,5352,True
2025-04-23T00:00:00+00:00,11.18,11.2,10.9,10.94,1044,True
2025-04-24T00:00:00+00:00,10.94,10.96,10.72,10.74,825,True
2025-04-25T00:00:00+00:00,10.86,10.86,10.78,10.8,471,True
2025-04-28T00:00:00+00:00,11.0,11.14,10.82,10.88,1447,True
2025-04-29T00:00:00+00:00,10.9,10.9,10.52,10.58,928,True
2025-04-30T00:00:00+00:00,10.44,10.5,10.26,10.44,1441,True
2025-05-02T00:00:00+00:00,10.44,11.36,10.2,10.4,4757,True
2025-05-05T00:00:00+00:00,10.34,10.34,10.02,10.06,1557,True
2025-05-06T00:00:00+00:00,10.08,10.26,10.02,10.24,767,True
2025-05-07T00:00:00+00:00,10.26,10.3,10.2,10.22,702,True
2025-05-08T00:00:00+00:00,10.22,10.34,10.22,10.34,412,True
2025-05-12T00:00:00+00:00,10.42,10.58,10.36,10.36,1311,True
2025-05-13T00:00:00+00:00,10.42,10.82,10.38,10.56,3750,True
2025-05-14T00:00:00+00:00,10.62,10.7,10.5,10.64,367,True
2025-05-15T00:00:00+00:00,10.6,10.6,10.36,10.36,754,True
2025-05-16T00:00:00+00:00,10.4,10.42,10.26,10.26,897,True
2025-05-19T00:00:00+00:00,10.36,10.38,10.22,10.22,503,True
2025-05-20T00:00:00+00:00,10.28,10.8,10.08,10.5,4042,True
2025-05-21T00:00:00+00:00,10.48,10.6,10.38,10.38,406,True
2025-05-22T00:00:00+00:00,10.3,10.34,10.04,10.24,1350,True
2025-05-23T00:00:00+00:00,10.22,10.38,10.14,10.16,1095,True
2025-05-26T00:00:00+00:00,10.18,10.2,10.0,10.02,984,True
2025-05-27T00:00:00+00:00,10.04,10.12,10.02,10.04,669,True
2025-05-28T00:00:00+00:00,10.08,10.56,10.08,10.32,3686,True
2025-05-29T00:00:00+00:00,10.48,10.52,10.1,10.18,787,True
2025-05-30T00:00:00+00:00,10.2,10.28,10.0,10.08,1662,True
2025-06-02T00:00:00+00:00,10.16,10.26,10.14,10.18,373,True
2025-06-03T00:00:00+00:00,10.26,10.48,10.22,10.3,1309,True
2025-06-04T00:00:00+00:00,10.42,10.42,10.18,10.26,926,True
2025-06-05T00:00:00+00:00,10.38,10.38,10.04,10.28,1255,True
2025-06-06T00:00:00+00:00,10.28,10.32,10.1,10.14,764,True
2025-06-09T00:00:00+00:00,10.08,10.18,10.08,10.1,375,True
2025-06-10T00:00:00+00:00,10.14,10.26,10.06,10.12,254,True
2025-06-11T00:00:00+00:00,10.2,10.26,10.12,10.2,573,True
2025-06-13T00:00:00+00:00,10.28,10.38,10.18,10.18,462,True
2025-06-16T00:00:00+00:00,10.32,10.32,10.12,10.14,363,True
2025-06-17T00:00:00+00:00,10.2,10.24,10.12,10.22,294,True
2025-06-18T00:00:00+00:00,10.2,10.5,10.18,10.34,1977,True
2025-06-19T00:00:00+00:00,10.32,10.34,10.16,10.22,376,True
2025-06-20T00:00:00+00:00,10.34,10.34,10.12,10.16,522,True
2025-06-23T00:00:00+00:00,10.22,10.26,9.94,10.04,1573,True
2025-06-24T00:00:00+00:00,10.1,10.28,10.0,10.14,1602,True
2025-06-25T00:00:00+00:00,10.1,10.22,10.1,10.16,338,True
2025-06-26T00:00:00+00:00,10.14,10.16,10.1,10.12,181,True
2025-06-27T00:00:00+00:00,10.1,10.16,9.96,9.98,675,True
2025-06-30T00:00:00+00:00,10.06,10.12,10.02,10.06,406,True
2025-07-01T00:00:00+00:00,10.1,10.46,10.08,10.24,1977,True
2025-07-02T00:00:00+00:00,10.24,10.32,10.12,10.14,780,True
2025-07-03T00:00:00+00:00,10.12,10.3,9.96,10.1,1791,True
2025-07-04T00:00:00+00:00,10.24,10.24,10.02,10.06,596,True
2025-07-05T00:00:00+00:00,10.16,10.16,10.06,10.08,53,True
2025-07-06T00:00:00+00:00,10.08,10.12,10.06,10.12,115,True
2025-07-07T00:00:00+00:00,10.12,10.14,9.98,10.06,593,True
2025-07-08T00:00:00+00:00,10.16,10.16,9.96,10.0,514,True
2025-07-09T00:00:00+00:00,10.06,10.06,9.82,9.96,1492,True
2025-07-10T00:00:00+00:00,9.98,9.98,9.82,9.84,826,True
2025-07-11T00:00:00+00:00,9.96,9.98,9.52,9.6,3312,True
2025-07-12T00:00:00+00:00,9.64,9.66,9.58,9.64,86,True
2025-07-13T00:00:00+00:00,9.56,9.6,9.46,9.46,449,True
2025-07-14T00:00:00+00:00,9.54,9.76,9.4,9.76,1232,True
2025-07-15T00:00:00+00:00,9.9,9.98,9.66,9.8,851,True
2025-07-16T00:00:00+00:00,9.56,10.0,9.56,9.92,1086,True
2025-07-17T00:00:00+00:00,9.9,10.1,9.9,9.96,745,True
2025-07-18T00:00:00+00:00,9.98,10.16,9.92,10.14,709,True
2025-07-19T00:00:00+00:00,10.1,10.14,9.94,10.0,830,True
2025-07-20T00:00:00+00:00,10.16,10.18,10.04,10.18,454,True
2025-07-21T00:00:00+00:00,10.1,10.28,10.08,10.22,1312,True
2025-07-22T00:00:00+00:00,10.3,10.5,10.1,10.36,3295,True
2025-07-23T00:00:00+00:00,10.52,10.56,10.22,10.4,2496,True
2025-07-24T00:00:00+00:00,10.46,10.8,10.36,10.5,2602,True
2025-07-25T00:00:00+00:00,10.32,10.48,10.22,10.24,1496,True
2025-07-26T00:00:00+00:00,10.24,10.34,9.94,10.32,357,True
2025-07-27T00:00:00+00:00,10.32,10.4,10.24,10.3,311,True
2025-07-28T00:00:00+00:00,10.4,10.44,10.1,10.2,2898,True
2025-07-29T00:00:00+00:00,10.18,10.2,9.96,10.06,1269,True
2025-07-30T00:00:00+00:00,10.16,10.18,10.0,10.04,798,True
2025-07-31T00:00:00+00:00,10.14,10.2,9.98,10.0,685,True
2025-08-01T00:00:00+00:00,10.18,10.18,9.96,10.02,440,True
2025-08-04T00:00:00+00:00,10.14,10.24,10.0,10.08,438,True
2025-08-05T00:00:00+00:00,10.12,10.12,9.94,10.02,1114,True
2025-08-06T00:00:00+00:00,10.04,10.1,10.0,10.06,752,True
2025-08-07T00:00:00+00:00,10.08,10.3,10.04,10.06,2212,True
2025-08-08T00:00:00+00:00,10.04,10.5,10.04,10.2,1689,True
2025-08-11T00:00:00+00:00,10.34,10.7,10.26,10.48,6138,True
2025-08-12T00:00:00+00:00,10.6,10.66,10.5,10.6,1219,True
2025-08-13T00:00:00+00:00,10.64,10.64,10.4,10.46,1223,True
2025-08-14T00:00:00+00:00,10.44,10.72,10.02,10.32,4443,True
2025-08-15T00:00:00+00:00,10.4,10.4,10.06,10.22,1709,True
2025-08-16T00:00:00+00:00,10.18,10.24,10.16,10.22,173,True
2025-08-17T00:00:00+00:00,10.18,10.2,10.08,10.16,85,True
2025-08-18T00:00:00+00:00,10.24,10.46,10.16,10.38,1177,True
2025-08-19T00:00:00+00:00,10.38,10.58,10.38,10.42,836,True
2025-08-20T00:00:00+00:00,10.46,10.52,10.36,10.46,477,True
2025-08-21T00:00:00+00:00,10.48,10.48,10.18,10.26,912,True
2025-08-22T00:00:00+00:00,10.26,10.34,10.22,10.28,711,True
2025-08-23T00:00:00+00:00,10.34,10.34,10.24,10.3,20,True
2025-08-24T00:00:00+00:00,10.3,10.4,10.16,10.3,340,True
2025-08-25T00:00:00+00:00,10.4,10.4,10.18,10.22,733,True
2025-08-26T00:00:00+00:00,10.36,10.38,10.16,10.32,633,True
2025-08-27T00:00:00+00:00,10.4,10.42,10.18,10.3,974,True
2025-08-28T00:00:00+00:00,10.34,10.48,10.12,10.18,2392,True
