time,open,high,low,close,volume,is_complete
2023-02-06T00:00:00+00:00,54.58,55.0,53.5,54.86,247750,True
2023-02-07T00:00:00+00:00,54.7,55.26,54.0,54.46,188541,True
2023-02-08T00:00:00+00:00,54.46,55.18,54.08,54.54,329058,True
2023-02-09T00:00:00+00:00,54.54,55.6,54.24,55.24,372798,True
2023-02-10T00:00:00+00:00,55.7,57.34,55.7,56.7,669248,True
2023-02-13T00:00:00+00:00,57.2,57.82,56.34,56.94,327368,True
2023-02-14T00:00:00+00:00,56.76,57.26,54.14,54.88,505423,True
2023-02-15T00:00:00+00:00,54.8,54.8,50.14,51.04,976661,True
2023-02-16T00:00:00+00:00,51.04,54.38,50.5,52.9,656476,True
2023-02-17T00:00:00+00:00,53.68,53.68,52.08,52.48,166647,True
2023-02-20T00:00:00+00:00,52.46,52.58,50.54,51.44,546616,True
2023-02-21T00:00:00+00:00,51.4,53.98,50.1,52.92,687239,True
2023-02-22T00:00:00+00:00,53.76,53.76,52.1,52.92,203421,True
2023-02-24T00:00:00+00:00,52.66,53.94,52.64,53.6,174285,True
2023-02-27T00:00:00+00:00,53.36,53.56,52.06,53.38,285776,True
2023-02-28T00:00:00+00:00,53.66,54.44,53.4,53.68,145845,True
2023-03-01T00:00:00+00:00,53.68,55.98,53.64,55.0,581148,True
2023-03-02T00:00:00+00:00,55.12,55.22,51.04,53.38,592395,True
2023-03-03T00:00:00+00:00,53.98,54.5,53.42,53.6,207236,True
2023-03-06T00:00:00+00:00,53.76,54.46,53.6,53.74,177925,True
2023-03-07T00:00:00+00:00,53.98,53.98,52.8,53.22,219751,True
2023-03-09T00:00:00+00:00,53.22,53.7,53.1,53.36,177140,True
2023-03-10T00:00:00+00:00,53.36,53.46,52.0,52.96,133431,True
2023-03-13T00:00:00+00:00,53.0,53.5,52.5,52.76,168265,True
2023-03-14T00:00:00+00:00,52.76,53.04,52.16,52.58,115902,True
2023-03-15T00:00:00+00:00,52.96,52.96,52.06,52.26,125392,True
2023-03-16T00:00:00+00:00,52.4,53.74,52.26,52.6,739128,True
2023-03-17T00:00:00+00:00,53.3,53.66,52.76,52.84,408407,True
2023-03-20T00:00:00+00:00,53.02,53.6,52.8,52.88,414883,True
2023-03-21T00:00:00+00:00,52.94,53.96,52.44,53.02,949679,True
2023-03-22T00:00:00+00:00,53.26,54.54,53.08,54.14,421177,True
2023-03-23T00:00:00+00:00,54.2,59.42,53.74,57.68,4324398,True
2023-03-24T00:00:00+00:00,57.68,62.0,56.7,60.2,2916236,True
2023-03-27T00:00:00+00:00,61.0,62.16,60.0,60.92,1221972,True
2023-03-28T00:00:00+00:00,61.6,61.6,58.82,59.98,792226,True
2023-03-29T00:00:00+00:00,61.0,65.1,60.22,62.4,4695252,True
2023-03-30T00:00:00+00:00,62.4,63.78,61.32,62.12,772960,True
2023-03-31T00:00:00+00:00,62.6,62.68,60.0,61.0,735958,True
2023-04-03T00:00:00+00:00,61.74,62.16,60.9,61.86,402346,True
2023-04-04T00:00:00+00:00,62.0,62.0,60.04,60.38,421648,True
2023-04-05T00:00:00+00:00,60.46,61.14,59.04,60.7,390054,True
2023-04-06T00:00:00+00:00,61.3,61.64,60.0,60.42,462391,True
2023-04-07T00:00:00+00:00,60.5,61.22,60.3,60.86,217840,True
2023-04-10T00:00:00+00:00,61.5,62.6,60.32,62.06,919410,True
2023-04-11T00:00:00+00:00,62.4,63.4,55.52,60.62,1155411,True
2023-04-12T00:00:00+00:00,60.62,61.48,58.98,60.8,285200,True
2023-04-13T00:00:00+00:00,61.4,61.4,60.06,60.74,156165,True
2023-04-14T00:00:00+00:00,60.74,61.4,60.74,61.2,195065,True
2023-04-17T00:00:00+00:00,61.3,64.22,61.0,63.88,1621353,True
2023-04-18T00:00:00+00:00,63.94,64.38,62.44,63.42,539380,True
2023-04-19T00:00:00+00:00,63.5,64.0,61.5,62.14,579378,True
2023-04-20T00:00:00+00:00,62.3,63.16,61.04,62.76,255169,True
2023-04-21T00:00:00+00:00,63.0,63.12,62.0,62.28,201846,True
2023-04-24T00:00:00+00:00,62.54,69.16,62.0,67.5,4693239,True
2023-04-25T00:00:00+00:00,67.64,70.9,67.6,68.22,2432758,True
2023-04-26T00:00:00+00:00,69.0,69.0,66.0,67.26,901026,True
2023-04-27T00:00:00+00:00,67.82,67.82,66.04,66.6,760219,True
2023-04-28T00:00:00+00:00,67.62,68.44,64.52,65.4,987725,True
2023-05-02T00:00:00+00:00,65.52,66.96,61.12,62.88,846522,True
2023-05-03T00:00:00+00:00,62.92,66.0,60.0,61.12,637114,True
2023-05-04T00:00:00+00:00,61.14,64.98,61.14,62.38,767884,True
2023-05-05T00:00:00+00:00,62.92,63.16,61.8,62.22,215456,True
2023-05-08T00:00:00+00:00,62.22,62.84,60.7,61.04,178032,True
2023-05-10T00:00:00+00:00,61.04,63.0,60.78,62.34,297306,True
2023-05-11T00:00:00+00:00,62.82,66.3,62.54,66.0,1200685,True
2023-05-12T00:00:00+00:00,65.5,65.5,63.74,65.02,425416,True
2023-05-15T00:00:00+00:00,65.02,71.0,64.2,69.3,5744089,True
2023-05-16T00:00:00+00:00,69.92,71.68,68.56,70.76,1498643,True
2023-05-17T00:00:00+00:00,70.9,76.98,70.9,75.7,5518315,True
2023-05-18T00:00:00+00:00,75.7,76.24,73.02,73.9,1203818,True
2023-05-19T00:00:00+00:00,74.32,76.84,73.58,74.48,1416033,True
2023-05-22T00:00:00+00:00,74.04,76.5,72.1,72.5,810534,True
2023-05-23T00:00:00+00:00,73.7,73.86,71.56,72.64,452615,True
2023-05-24T00:00:00+00:00,72.96,82.14,72.36,80.4,7188043,True
2023-05-25T00:00:00+00:00,81.0,83.58,77.56,80.52,2663670,True
2023-05-26T00:00:00+00:00,80.54,82.76,79.0,80.62,1132591,True
2023-05-29T00:00:00+00:00,82.3,85.6,81.34,84.82,2547284,True
2023-05-30T00:00:00+00:00,85.7,91.42,82.6,86.26,7923159,True
2023-05-31T00:00:00+00:00,86.26,88.7,82.6,84.64,2470047,True
2023-06-01T00:00:00+00:00,84.66,87.0,83.0,83.94,1202652,True
2023-06-02T00:00:00+00:00,85.0,86.04,83.3,84.24,1110087,True
2023-06-05T00:00:00+00:00,84.98,85.3,78.4,81.02,1710927,True
2023-06-06T00:00:00+00:00,81.0,82.48,76.46,82.2,1421418,True
2023-06-07T00:00:00+00:00,83.02,84.26,81.0,82.36,987186,True
2023-06-08T00:00:00+00:00,82.88,83.78,81.14,82.22,475258,True
2023-06-09T00:00:00+00:00,82.16,83.16,81.36,81.7,409779,True
2023-06-13T00:00:00+00:00,81.72,83.48,81.72,82.58,324792,True
2023-06-14T00:00:00+00:00,83.4,83.78,82.5,83.22,471381,True
2023-06-15T00:00:00+00:00,83.44,83.7,82.52,83.48,463606,True
2023-06-16T00:00:00+00:00,83.5,83.5,82.0,82.96,394437,True
2023-06-19T00:00:00+00:00,83.0,83.3,82.12,82.9,372427,True
2023-06-20T00:00:00+00:00,83.22,87.8,82.18,86.38,3120689,True
2023-06-21T00:00:00+00:00,86.38,86.7,84.9,85.02,630398,True
2023-06-22T00:00:00+00:00,86.44,86.44,83.7,84.2,587510,True
2023-06-23T00:00:00+00:00,84.2,85.0,82.6,84.6,622970,True
2023-06-26T00:00:00+00:00,83.74,84.9,80.22,82.38,1043666,True
2023-06-27T00:00:00+00:00,82.42,84.0,82.1,83.14,435423,True
2023-06-28T00:00:00+00:00,83.48,84.7,82.9,83.5,586694,True
2023-06-29T00:00:00+00:00,83.5,85.98,83.44,84.44,849080,True
2023-06-30T00:00:00+00:00,84.98,85.16,83.7,84.38,382542,True
2023-07-03T00:00:00+00:00,83.02,84.88,83.02,84.68,536570,True
2023-07-04T00:00:00+00:00,84.68,84.74,80.54,83.8,700957,True
2023-07-05T00:00:00+00:00,84.0,84.5,83.32,84.04,322667,True
2023-07-06T00:00:00+00:00,84.1,84.72,83.1,83.86,367136,True
2023-07-07T00:00:00+00:00,84.16,90.2,83.7,89.88,3785511,True
2023-07-10T00:00:00+00:00,90.2,96.7,90.02,92.72,6343597,True
2023-07-11T00:00:00+00:00,93.48,94.88,90.82,91.3,1434138,True
2023-07-12T00:00:00+00:00,92.0,92.66,90.24,91.46,974635,True
2023-07-13T00:00:00+00:00,92.26,92.26,89.2,90.0,904444,True
