time,open,high,low,close,volume,is_complete
2023-09-11T00:00:00+00:00,0.025,0.056,0.025,0.056,10560826,True
2023-09-12T00:00:00+00:00,0.042,0.06,0.042,0.0535,4710813,True
2023-09-13T00:00:00+00:00,0.055,0.0575,0.05,0.0536,3525848,True
2023-09-14T00:00:00+00:00,0.05,0.0555,0.03,0.052,15469993,True
2023-09-15T00:00:00+00:00,0.05,0.051,0.04,0.051,5034322,True
2023-09-18T00:00:00+00:00,0.045,0.0505,0.0444,0.0499,6723943,True
2023-09-19T00:00:00+00:00,0.0509,0.0574,0.044,0.0516,14746421,True
2023-09-20T00:00:00+00:00,0.0445,0.0488,0.044,0.046,10795747,True
2023-09-21T00:00:00+00:00,0.0445,0.0481,0.0443,0.0455,1304185,True
2023-09-22T00:00:00+00:00,0.0464,0.0484,0.0457,0.0464,6074774,True
2023-09-25T00:00:00+00:00,0.0446,0.0475,0.0446,0.0473,740593,True
2023-09-26T00:00:00+00:00,0.0475,0.0475,0.0446,0.0474,2321592,True
2023-09-27T00:00:00+00:00,0.045,0.049,0.045,0.047,1470357,True
2023-09-28T00:00:00+00:00,0.0473,0.0473,0.045,0.0463,2623331,True
2023-09-29T00:00:00+00:00,0.0452,0.0466,0.0452,0.0465,42914,True
2023-10-02T00:00:00+00:00,0.0645,0.0645,0.0441,0.0464,1599209,True
2023-10-03T00:00:00+00:00,0.0441,0.046,0.044,0.0456,4183712,True
2023-10-04T00:00:00+00:00,0.0442,0.0455,0.0442,0.0455,48097,True
2023-10-05T00:00:00+00:00,0.0442,0.0456,0.042,0.0424,12028392,True
2023-10-06T00:00:00+00:00,0.0454,0.0455,0.0426,0.0438,3027878,True
2023-10-09T00:00:00+00:00,0.0437,0.0437,0.0401,0.043,1396822,True
2023-10-10T00:00:00+00:00,0.043,0.045,0.0418,0.0448,1101011,True
2023-10-11T00:00:00+00:00,0.043,0.0449,0.0421,0.0436,612210,True
2023-10-12T00:00:00+00:00,0.0422,0.044,0.042,0.044,403001,True
2023-10-13T00:00:00+00:00,0.0442,0.0442,0.0425,0.0438,3597408,True
2023-10-16T00:00:00+00:00,0.0495,0.0495,0.0427,0.0449,262602,True
2023-10-17T00:00:00+00:00,0.0455,0.0455,0.042,0.0447,1091259,True
2023-10-18T00:00:00+00:00,0.049,0.049,0.0413,0.0425,3475845,True
2023-10-19T00:00:00+00:00,0.0425,0.0436,0.0413,0.0436,1587526,True
2023-10-20T00:00:00+00:00,0.044,0.044,0.0411,0.0429,2247462,True
2023-10-23T00:00:00+00:00,0.041,0.0432,0.0301,0.04,5512121,True
2023-10-24T00:00:00+00:00,0.043,0.043,0.0391,0.0415,2604137,True
2023-10-25T00:00:00+00:00,0.041,0.0427,0.041,0.0421,1060931,True
2023-10-26T00:00:00+00:00,0.0484,0.0484,0.04,0.0435,321377,True
2023-10-27T00:00:00+00:00,0.044,0.044,0.041,0.0411,1643420,True
2023-10-30T00:00:00+00:00,0.0469,0.0469,0.0394,0.042,1399728,True
2023-10-31T00:00:00+00:00,0.0399,0.042,0.0392,0.042,840170,True
2023-11-01T00:00:00+00:00,0.042,0.042,0.0351,0.042,2012600,True
2023-11-02T00:00:00+00:00,0.0401,0.049,0.0401,0.0415,1251911,True
2023-11-03T00:00:00+00:00,0.045,0.045,0.0402,0.0439,259963,True
