time,open,high,low,close,volume,is_complete
2023-02-06T00:00:00+00:00,11.79,11.79,11.46,11.63,4907,True
2023-02-07T00:00:00+00:00,11.7,11.9,11.35,11.72,10049,True
2023-02-08T00:00:00+00:00,11.74,11.8,11.5,11.7,7351,True
2023-02-09T00:00:00+00:00,11.74,14.5,11.7,12.8,163644,True
2023-02-10T00:00:00+00:00,12.99,12.99,12.03,12.22,12716,True
2023-02-13T00:00:00+00:00,12.01,12.49,11.84,12.12,7564,True
2023-02-14T00:00:00+00:00,12.16,22.1,12.16,17.0,1259129,True
2023-02-15T00:00:00+00:00,17.5,25.0,17.2,18.68,937566,True
2023-02-16T00:00:00+00:00,20.0,23.0,16.41,17.32,236556,True
2023-02-17T00:00:00+00:00,18.1,20.37,16.5,16.85,250180,True
2023-02-20T00:00:00+00:00,17.5,18.49,15.11,16.11,104117,True
2023-02-21T00:00:00+00:00,16.2,17.29,15.25,15.89,99319,True
2023-02-22T00:00:00+00:00,15.96,16.37,15.6,15.73,27557,True
2023-02-24T00:00:00+00:00,15.94,16.12,15.42,15.52,13157,True
2023-02-27T00:00:00+00:00,15.5,15.81,14.69,15.6,20713,True
2023-02-28T00:00:00+00:00,15.6,16.58,15.33,15.99,44554,True
2023-03-01T00:00:00+00:00,16.05,16.48,15.95,16.25,25385,True
2023-03-02T00:00:00+00:00,16.3,17.63,14.69,16.0,98139,True
2023-03-03T00:00:00+00:00,16.4,18.8,15.88,16.92,226171,True
2023-03-06T00:00:00+00:00,17.5,18.22,17.0,17.67,87888,True
2023-03-07T00:00:00+00:00,17.77,17.87,17.02,17.39,16025,True
2023-03-09T00:00:00+00:00,17.39,18.34,17.21,17.92,73891,True
2023-03-10T00:00:00+00:00,18.14,18.99,17.42,17.76,54360,True
2023-03-13T00:00:00+00:00,17.87,18.0,16.21,17.3,20584,True
2023-03-14T00:00:00+00:00,17.59,17.59,16.52,17.1,19077,True
2023-03-15T00:00:00+00:00,17.19,17.49,16.8,16.87,9710,True
2023-03-16T00:00:00+00:00,16.96,17.09,16.87,16.9,4766,True
2023-03-17T00:00:00+00:00,16.93,17.05,16.52,16.76,6814,True
2023-03-20T00:00:00+00:00,16.83,16.83,16.4,16.57,15127,True
2023-03-21T00:00:00+00:00,16.52,16.72,16.25,16.37,9820,True
2023-03-22T00:00:00+00:00,16.37,17.58,16.3,17.05,46514,True
2023-03-23T00:00:00+00:00,17.12,17.9,16.81,17.19,29091,True
2023-03-24T00:00:00+00:00,17.33,17.45,16.8,16.97,9640,True
2023-03-27T00:00:00+00:00,16.98,17.78,16.85,17.4,20686,True
2023-03-28T00:00:00+00:00,17.4,17.58,17.1,17.47,7731,True
2023-03-29T00:00:00+00:00,17.65,17.65,17.21,17.4,5659,True
2023-03-30T00:00:00+00:00,17.4,17.8,17.4,17.53,17679,True
2023-03-31T00:00:00+00:00,17.55,17.8,17.0,17.08,14267,True
2023-04-03T00:00:00+00:00,17.2,18.4,17.11,18.16,64945,True
2023-04-04T00:00:00+00:00,18.35,19.75,17.78,18.23,81565,True
2023-04-05T00:00:00+00:00,18.76,18.96,18.26,18.53,19010,True
2023-04-06T00:00:00+00:00,18.64,19.54,18.4,19.27,45382,True
2023-04-07T00:00:00+00:00,19.2,19.94,18.77,19.01,32488,True
2023-04-10T00:00:00+00:00,19.2,19.88,19.0,19.64,18522,True
2023-04-11T00:00:00+00:00,19.9,22.37,18.7,19.6,186339,True
2023-04-12T00:00:00+00:00,19.99,21.21,19.8,20.85,61486,True
2023-04-13T00:00:00+00:00,21.18,21.39,20.06,20.22,20610,True
2023-04-14T00:00:00+00:00,20.22,20.48,19.66,20.31,11716,True
2023-04-17T00:00:00+00:00,20.31,20.46,20.03,20.22,10478,True
2023-04-18T00:00:00+00:00,20.22,21.86,20.12,21.39,101274,True
2023-04-19T00:00:00+00:00,21.05,21.6,20.71,20.9,15954,True
2023-04-20T00:00:00+00:00,21.0,21.28,20.24,20.6,18346,True
2023-04-21T00:00:00+00:00,20.88,20.89,20.3,20.48,4250,True
