time,open,high,low,close,volume,is_complete
2025-02-04T00:00:00+00:00,87.1,87.6,83.7,84.6,8354,True
2025-02-05T00:00:00+00:00,84.6,84.8,83.0,83.7,3891,True
2025-02-06T00:00:00+00:00,84.6,86.2,84.3,85.5,3743,True
2025-02-07T00:00:00+00:00,85.5,86.5,84.1,85.1,3382,True
2025-02-10T00:00:00+00:00,85.3,86.4,85.0,86.1,4189,True
2025-02-11T00:00:00+00:00,86.0,86.5,85.2,85.9,4341,True
2025-02-12T00:00:00+00:00,86.7,87.8,85.7,86.4,6434,True
2025-02-13T00:00:00+00:00,88.3,89.6,87.0,87.7,7194,True
2025-02-14T00:00:00+00:00,88.8,89.8,87.0,87.5,8401,True
2025-02-17T00:00:00+00:00,88.6,89.7,88.2,89.6,5999,True
2025-02-18T00:00:00+00:00,89.6,89.6,87.7,88.5,5749,True
2025-02-19T00:00:00+00:00,88.9,89.1,88.2,89.1,3267,True
2025-02-20T00:00:00+00:00,89.0,90.0,88.9,89.4,7378,True
2025-02-21T00:00:00+00:00,90.0,90.8,89.0,90.3,9151,True
2025-02-24T00:00:00+00:00,90.3,91.9,90.3,91.1,14016,True
2025-02-25T00:00:00+00:00,91.3,97.9,91.2,93.3,42139,True
2025-02-26T00:00:00+00:00,94.4,98.9,91.0,91.3,50988,True
2025-02-27T00:00:00+00:00,91.0,91.2,87.1,88.8,17404,True
2025-02-28T00:00:00+00:00,88.3,89.0,84.4,88.4,12260,True
2025-03-03T00:00:00+00:00,88.4,88.9,86.5,88.1,4609,True
2025-03-04T00:00:00+00:00,88.5,90.5,88.5,90.3,5207,True
2025-03-05T00:00:00+00:00,90.6,92.5,89.7,90.2,8543,True
2025-03-06T00:00:00+00:00,89.9,92.1,89.0,89.8,10240,True
2025-03-07T00:00:00+00:00,91.4,92.0,90.0,90.5,8862,True
2025-03-10T00:00:00+00:00,91.0,91.5,90.5,90.7,2346,True
2025-03-11T00:00:00+00:00,90.6,90.8,89.0,89.5,5623,True
2025-03-12T00:00:00+00:00,89.2,89.3,86.0,86.9,9902,True
2025-03-13T00:00:00+00:00,86.9,87.2,85.0,85.9,8066,True
2025-03-14T00:00:00+00:00,85.9,88.0,85.1,86.8,4502,True
2025-03-17T00:00:00+00:00,88.7,90.9,87.9,89.3,17706,True
2025-03-18T00:00:00+00:00,89.4,90.9,88.0,88.4,4552,True
2025-03-19T00:00:00+00:00,88.5,88.7,86.5,88.0,4417,True
2025-03-20T00:00:00+00:00,89.5,89.5,84.6,86.3,18598,True
2025-03-21T00:00:00+00:00,86.3,87.4,85.5,85.7,6167,True
2025-03-24T00:00:00+00:00,85.7,87.0,85.7,86.2,3456,True
2025-03-25T00:00:00+00:00,86.2,86.9,84.9,85.1,7121,True
2025-03-26T00:00:00+00:00,85.2,88.5,85.2,86.0,10002,True
2025-03-27T00:00:00+00:00,85.9,86.4,84.5,84.6,2825,True
2025-03-28T00:00:00+00:00,84.5,85.3,83.1,83.7,3473,True
2025-03-31T00:00:00+00:00,83.7,88.0,83.6,85.0,12410,True
2025-04-01T00:00:00+00:00,85.7,87.9,85.1,85.9,4412,True
2025-04-02T00:00:00+00:00,85.2,86.1,84.9,85.8,1210,True
2025-04-03T00:00:00+00:00,85.6,86.4,81.1,81.4,6045,True
2025-04-04T00:00:00+00:00,82.1,85.9,78.1,79.2,10555,True
2025-04-07T00:00:00+00:00,78.0,82.5,74.1,82.0,16675,True
