time,open,high,low,close,volume,is_complete
2023-02-06T00:00:00+00:00,90.0,92.7,90.0,91.4,415950,True
2023-02-07T00:00:00+00:00,91.5,96.5,91.2,93.0,2151726,True
2023-02-08T00:00:00+00:00,93.7,116.0,93.3,105.9,14552592,True
2023-02-09T00:00:00+00:00,107.0,108.0,100.6,101.5,1956864,True
2023-02-10T00:00:00+00:00,102.0,103.8,99.0,103.2,938427,True
2023-02-13T00:00:00+00:00,103.2,103.4,100.2,101.8,597958,True
2023-02-14T00:00:00+00:00,102.4,105.0,97.3,98.5,1236431,True
2023-02-15T00:00:00+00:00,98.5,98.5,90.0,90.6,1427769,True
2023-02-16T00:00:00+00:00,90.9,96.2,90.7,91.3,1484347,True
2023-02-17T00:00:00+00:00,91.7,92.8,88.5,89.2,847058,True
2023-02-20T00:00:00+00:00,90.0,90.1,85.7,87.2,965346,True
2023-02-21T00:00:00+00:00,87.9,91.4,86.9,89.7,960133,True
2023-02-22T00:00:00+00:00,90.1,90.6,89.1,89.6,265792,True
2023-02-24T00:00:00+00:00,89.6,95.4,89.4,92.1,1909225,True
2023-02-27T00:00:00+00:00,92.0,95.9,90.9,94.0,1219051,True
2023-02-28T00:00:00+00:00,94.2,96.4,94.2,95.8,776912,True
2023-03-01T00:00:00+00:00,96.8,101.0,95.4,97.8,2462279,True
2023-03-02T00:00:00+00:00,98.8,101.4,94.2,95.8,2203952,True
2023-03-03T00:00:00+00:00,95.9,97.4,95.5,96.7,576233,True
2023-03-06T00:00:00+00:00,97.9,99.1,97.3,98.4,611224,True
2023-03-07T00:00:00+00:00,99.6,99.6,97.1,98.0,362028,True
2023-03-09T00:00:00+00:00,98.0,103.3,97.9,100.2,2736430,True
2023-03-10T00:00:00+00:00,99.8,99.8,98.5,98.8,449142,True
2023-03-13T00:00:00+00:00,99.0,102.3,98.2,99.3,1175897,True
2023-03-14T00:00:00+00:00,99.3,100.7,98.1,99.6,625383,True
2023-03-15T00:00:00+00:00,99.7,100.6,98.0,98.1,539848,True
2023-03-16T00:00:00+00:00,98.2,98.9,96.1,97.6,455256,True
2023-03-17T00:00:00+00:00,98.0,98.4,97.2,97.5,292657,True
2023-03-20T00:00:00+00:00,97.5,99.2,95.0,98.0,803876,True
2023-03-21T00:00:00+00:00,98.7,99.7,97.5,98.2,533143,True
2023-03-22T00:00:00+00:00,98.9,98.9,97.1,97.5,287680,True
2023-03-23T00:00:00+00:00,97.5,102.9,97.2,101.2,2803674,True
2023-03-24T00:00:00+00:00,102.4,108.8,101.0,106.0,5688857,True
2023-03-27T00:00:00+00:00,107.3,107.6,104.8,105.4,1379949,True
2023-03-28T00:00:00+00:00,106.0,106.2,103.3,104.8,924027,True
2023-03-29T00:00:00+00:00,105.2,105.8,104.0,104.6,498597,True
2023-03-30T00:00:00+00:00,104.7,133.6,104.2,125.4,35928752,True
2023-03-31T00:00:00+00:00,126.4,145.0,125.7,134.0,40384248,True
2023-04-03T00:00:00+00:00,143.0,150.6,141.1,144.8,26546809,True
2023-04-04T00:00:00+00:00,146.8,147.7,138.9,139.9,5135679,True
2023-04-05T00:00:00+00:00,140.0,142.0,134.1,135.3,3805485,True
2023-04-06T00:00:00+00:00,136.5,157.4,132.6,155.0,48167014,True
2023-04-07T00:00:00+00:00,158.5,164.0,151.3,152.0,20365021,True
2023-04-10T00:00:00+00:00,156.0,156.2,150.1,151.8,3311263,True
2023-04-11T00:00:00+00:00,151.4,152.3,142.0,146.5,5936268,True
2023-04-12T00:00:00+00:00,146.5,150.0,143.5,146.4,3075045,True
2023-04-13T00:00:00+00:00,146.4,151.4,145.5,147.9,4635458,True
2023-04-14T00:00:00+00:00,147.9,150.0,145.2,147.1,1623989,True
2023-04-17T00:00:00+00:00,149.0,151.2,146.8,147.7,2883572,True
2023-04-18T00:00:00+00:00,147.7,148.2,145.4,146.0,1248717,True
2023-04-19T00:00:00+00:00,143.0,145.5,138.2,140.9,3064520,True
2023-04-20T00:00:00+00:00,140.5,146.3,136.1,143.6,3618218,True
2023-04-21T00:00:00+00:00,145.6,145.6,139.1,139.4,1549958,True
2023-04-24T00:00:00+00:00,139.4,141.0,138.5,140.2,1276617,True
2023-04-25T00:00:00+00:00,139.3,144.0,139.0,140.1,1258597,True
2023-04-26T00:00:00+00:00,140.4,140.9,139.0,139.8,962690,True
2023-04-27T00:00:00+00:00,140.0,140.1,137.5,138.0,911619,True
2023-04-28T00:00:00+00:00,138.6,139.5,135.1,135.6,1033326,True
2023-05-02T00:00:00+00:00,135.7,135.8,117.0,125.0,7056007,True
2023-05-03T00:00:00+00:00,125.5,126.3,116.5,117.0,5224430,True
2023-05-04T00:00:00+00:00,117.4,120.8,115.7,116.8,2795188,True
2023-05-05T00:00:00+00:00,118.0,123.4,117.2,119.9,8206771,True
2023-05-08T00:00:00+00:00,121.9,125.7,118.1,118.2,4570730,True
2023-05-10T00:00:00+00:00,118.2,121.9,118.2,121.0,2662901,True
2023-05-11T00:00:00+00:00,122.5,124.2,121.0,121.7,2526273,True
2023-05-12T00:00:00+00:00,120.5,123.8,118.0,120.6,5001891,True
2023-05-15T00:00:00+00:00,122.9,123.9,121.1,123.7,2226828,True
2023-05-16T00:00:00+00:00,125.6,127.9,124.0,124.2,3699090,True
2023-05-17T00:00:00+00:00,124.8,124.9,121.1,121.9,1692327,True
2023-05-18T00:00:00+00:00,122.2,126.2,121.9,122.9,3274172,True
2023-05-19T00:00:00+00:00,123.0,124.8,121.1,121.5,1167963,True
2023-05-22T00:00:00+00:00,123.2,124.8,121.2,121.6,1930432,True
2023-05-23T00:00:00+00:00,123.0,123.2,116.0,118.9,1736993,True
2023-05-24T00:00:00+00:00,119.1,122.6,115.6,119.8,1156700,True
2023-05-25T00:00:00+00:00,120.9,121.3,118.2,119.1,687755,True
2023-05-26T00:00:00+00:00,120.0,122.7,118.1,119.6,1626956,True
2023-05-29T00:00:00+00:00,120.1,122.7,119.6,121.6,998548,True
2023-05-30T00:00:00+00:00,121.2,123.6,118.1,120.5,1542190,True
2023-05-31T00:00:00+00:00,119.7,121.3,117.3,119.3,1020791,True
2023-06-01T00:00:00+00:00,120.0,120.5,118.0,119.0,459270,True
2023-06-02T00:00:00+00:00,119.2,120.4,118.1,119.8,780642,True
2023-06-05T00:00:00+00:00,122.0,134.7,120.6,131.0,11314319,True
2023-06-06T00:00:00+00:00,130.0,132.4,123.7,128.8,3241408,True
2023-06-07T00:00:00+00:00,129.0,130.1,124.4,126.4,2265197,True
2023-06-08T00:00:00+00:00,126.4,134.9,125.4,130.0,4877738,True
2023-06-09T00:00:00+00:00,131.0,136.8,128.8,131.8,5325154,True
2023-06-13T00:00:00+00:00,133.0,136.5,132.1,134.5,1944360,True
2023-06-14T00:00:00+00:00,135.1,136.5,131.8,132.8,1482578,True
2023-06-15T00:00:00+00:00,131.1,137.6,131.1,134.5,2717805,True
2023-06-16T00:00:00+00:00,134.7,135.3,133.0,133.3,821191,True
2023-06-19T00:00:00+00:00,134.0,135.5,132.5,133.5,1254422,True
2023-06-20T00:00:00+00:00,135.0,135.0,131.3,132.7,1192849,True
2023-06-21T00:00:00+00:00,133.0,141.8,132.8,140.7,7066606,True
2023-06-22T00:00:00+00:00,141.1,149.3,139.1,149.3,11170088,True
2023-06-23T00:00:00+00:00,147.0,150.3,143.3,147.1,5560850,True
2023-06-26T00:00:00+00:00,145.7,146.9,138.6,142.5,4636820,True
2023-06-27T00:00:00+00:00,142.7,145.9,141.5,145.0,1743940,True
2023-06-28T00:00:00+00:00,146.0,149.0,143.0,145.1,1765463,True
2023-06-29T00:00:00+00:00,145.5,146.2,144.0,144.3,672427,True
2023-06-30T00:00:00+00:00,144.6,145.6,139.6,141.8,1595786,True
2023-07-03T00:00:00+00:00,143.0,145.5,141.1,142.1,1263036,True
2023-07-04T00:00:00+00:00,142.5,144.2,140.1,140.2,837121,True
2023-07-05T00:00:00+00:00,140.5,142.7,140.1,140.9,806082,True
2023-07-06T00:00:00+00:00,142.6,145.5,141.4,142.0,2138358,True
2023-07-07T00:00:00+00:00,142.2,146.6,142.2,143.4,1933184,True
2023-07-10T00:00:00+00:00,145.0,150.4,143.8,147.5,6446837,True
2023-07-11T00:00:00+00:00,148.1,151.8,147.4,148.6,4579802,True
2023-07-12T00:00:00+00:00,148.9,149.6,147.5,148.3,1521061,True
2023-07-13T00:00:00+00:00,149.2,149.3,146.3,146.7,1344130,True
2023-07-14T00:00:00+00:00,146.8,148.0,145.2,145.7,1281489,True
2023-07-17T00:00:00+00:00,145.8,148.4,143.3,146.7,1621345,True
2023-07-18T00:00:00+00:00,146.7,154.0,146.7,153.1,7347159,True
2023-07-19T00:00:00+00:00,153.9,155.0,149.2,150.8,3952728,True
2023-07-20T00:00:00+00:00,151.9,151.9,147.0,147.3,2045526,True
2023-07-21T00:00:00+00:00,147.0,148.3,144.4,146.1,2070559,True
2023-07-24T00:00:00+00:00,147.2,148.7,146.3,147.3,1365558,True
2023-07-25T00:00:00+00:00,148.5,151.5,148.3,151.0,3222555,True
2023-07-26T00:00:00+00:00,151.7,153.6,147.7,151.3,3393996,True
2023-07-27T00:00:00+00:00,152.6,161.5,151.7,160.2,16785964,True
2023-07-28T00:00:00+00:00,160.5,160.9,156.1,158.0,2521269,True
2023-07-31T00:00:00+00:00,159.6,169.1,158.5,168.4,11609179,True
2023-08-01T00:00:00+00:00,169.1,171.4,162.4,163.5,6476914,True
2023-08-02T00:00:00+00:00,164.8,168.0,163.6,164.7,2547476,True
2023-08-03T00:00:00+00:00,163.6,171.6,163.6,167.9,5923383,True
2023-08-04T00:00:00+00:00,168.5,180.8,157.0,170.7,22221903,True
2023-08-07T00:00:00+00:00,173.9,180.3,171.8,172.9,5456160,True
2023-08-08T00:00:00+00:00,173.8,173.9,167.0,170.0,3180111,True
2023-08-09T00:00:00+00:00,172.4,176.4,170.9,173.4,4091602,True
2023-08-10T00:00:00+00:00,175.3,176.4,162.7,169.7,3177160,True
2023-08-11T00:00:00+00:00,171.5,181.4,171.0,174.5,16315544,True
2023-08-14T00:00:00+00:00,177.1,199.3,176.0,188.0,55629854,True
2023-08-15T00:00:00+00:00,184.0,200.5,180.0,195.9,33382893,True
2023-08-16T00:00:00+00:00,197.0,201.9,184.8,188.6,19950931,True
2023-08-17T00:00:00+00:00,195.0,196.0,188.2,190.2,6213352,True
2023-08-18T00:00:00+00:00,191.9,191.9,185.0,187.4,3558622,True
2023-08-21T00:00:00+00:00,189.0,197.6,187.2,189.9,14672926,True
2023-08-22T00:00:00+00:00,190.8,193.0,188.1,190.0,4572972,True
2023-08-23T00:00:00+00:00,191.0,192.4,182.6,185.9,4927908,True
2023-08-24T00:00:00+00:00,185.9,186.8,181.0,185.9,2567587,True
2023-08-25T00:00:00+00:00,186.5,193.0,181.5,184.4,10702017,True
2023-08-28T00:00:00+00:00,184.9,186.6,182.5,183.8,3235352,True
2023-08-29T00:00:00+00:00,183.5,186.3,182.4,183.2,3660230,True
2023-08-30T00:00:00+00:00,183.8,185.1,180.2,182.6,3005794,True
2023-08-31T00:00:00+00:00,182.7,184.4,180.9,181.7,1889174,True
2023-09-01T00:00:00+00:00,181.7,182.3,176.9,178.3,2808171,True
2023-09-04T00:00:00+00:00,178.8,190.7,178.7,187.4,10310008,True
2023-09-05T00:00:00+00:00,187.9,190.5,184.2,186.1,4486355,True
2023-09-06T00:00:00+00:00,187.0,197.7,186.5,193.7,15264743,True
2023-09-07T00:00:00+00:00,195.0,196.2,179.0,183.5,10031045,True
2023-09-08T00:00:00+00:00,183.9,185.3,178.2,181.8,3901589,True
2023-09-11T00:00:00+00:00,182.4,184.4,164.5,171.0,6516253,True
2023-09-12T00:00:00+00:00,173.0,179.8,171.5,177.4,7445635,True
2023-09-13T00:00:00+00:00,177.8,182.5,174.0,178.0,5437912,True
2023-09-14T00:00:00+00:00,179.0,179.0,148.5,165.2,13904772,True
2023-09-15T00:00:00+00:00,168.0,173.6,160.3,171.2,8257379,True
2023-09-18T00:00:00+00:00,173.3,175.9,169.0,169.5,4886995,True
2023-09-19T00:00:00+00:00,169.8,170.6,156.2,160.4,8267954,True
2023-09-20T00:00:00+00:00,160.0,160.1,148.7,153.4,10787302,True
2023-09-21T00:00:00+00:00,152.4,155.9,149.5,151.8,3769762,True
2023-09-22T00:00:00+00:00,152.4,154.4,149.5,152.6,4467153,True
2023-09-25T00:00:00+00:00,154.6,157.0,152.1,153.4,2341500,True
2023-09-26T00:00:00+00:00,153.1,154.0,150.6,154.0,1358445,True
2023-09-27T00:00:00+00:00,155.8,162.4,154.5,160.2,5436406,True
2023-09-28T00:00:00+00:00,161.6,166.6,161.0,163.5,4501303,True
2023-09-29T00:00:00+00:00,165.0,165.0,159.8,159.8,2057448,True
2023-10-02T00:00:00+00:00,161.1,163.8,159.6,160.0,2221890,True
2023-10-03T00:00:00+00:00,159.5,159.6,155.9,156.1,2696427,True
2023-10-04T00:00:00+00:00,156.0,157.7,154.3,155.6,1793108,True
2023-10-05T00:00:00+00:00,156.0,157.8,154.6,155.9,1041154,True
2023-10-06T00:00:00+00:00,156.2,160.6,156.0,156.5,2999225,True
2023-10-09T00:00:00+00:00,162.0,162.0,158.0,158.8,1942543,True
2023-10-10T00:00:00+00:00,159.4,160.4,158.5,160.0,914991,True
2023-10-11T00:00:00+00:00,161.1,163.9,159.6,161.7,2248978,True
2023-10-12T00:00:00+00:00,157.5,163.8,156.0,162.1,2504525,True
2023-10-13T00:00:00+00:00,162.2,166.4,162.2,164.5,3997840,True
2023-10-16T00:00:00+00:00,166.5,174.5,166.1,174.5,7749213,True
2023-10-17T00:00:00+00:00,175.0,176.5,170.6,172.0,3299208,True
2023-10-18T00:00:00+00:00,172.2,177.0,170.6,173.2,4729888,True
2023-10-19T00:00:00+00:00,174.0,174.0,171.0,171.3,1497907,True
2023-10-20T00:00:00+00:00,173.0,173.6,171.4,171.9,1441386,True
2023-10-23T00:00:00+00:00,171.1,172.1,168.2,169.8,1373692,True
2023-10-24T00:00:00+00:00,169.6,169.6,167.7,168.4,619419,True
2023-10-25T00:00:00+00:00,168.3,168.4,166.0,166.7,1305283,True
2023-10-26T00:00:00+00:00,167.0,172.4,164.7,165.3,2829250,True
2023-10-27T00:00:00+00:00,165.9,167.5,160.6,165.1,1888952,True
2023-10-30T00:00:00+00:00,165.9,166.3,162.4,162.6,1019058,True
2023-10-31T00:00:00+00:00,162.6,163.0,158.6,160.0,1160726,True
2023-11-01T00:00:00+00:00,159.1,165.3,158.8,163.2,1070474,True
2023-11-02T00:00:00+00:00,163.3,165.5,161.6,161.6,766810,True
