time,open,high,low,close,volume,is_complete
2023-12-15T00:00:00+00:00,14.6,14.9,12.33,12.505,2353740,True
2023-12-18T00:00:00+00:00,12.6,13.1,12.55,12.9,1224712,True
2023-12-19T00:00:00+00:00,12.925,13.06,12.55,12.61,407047,True
2023-12-20T00:00:00+00:00,12.64,12.905,12.55,12.805,304975,True
2023-12-21T00:00:00+00:00,12.805,13.29,12.71,13.16,520746,True
2023-12-22T00:00:00+00:00,13.24,13.795,13.16,13.71,551913,True
2023-12-25T00:00:00+00:00,13.8,14.335,13.31,13.5,538608,True
2023-12-26T00:00:00+00:00,13.75,13.765,13.4,13.52,161563,True
2023-12-27T00:00:00+00:00,13.65,13.7,13.505,13.655,155868,True
2023-12-28T00:00:00+00:00,13.66,13.9,13.5,13.605,288599,True
2023-12-29T00:00:00+00:00,13.665,13.785,13.6,13.7,97841,True
2024-01-03T00:00:00+00:00,13.71,14.3,13.71,14.245,156867,True
2024-01-04T00:00:00+00:00,14.5,14.5,14.045,14.155,98653,True
2024-01-05T00:00:00+00:00,14.195,14.3,14.05,14.185,62286,True
2024-01-08T00:00:00+00:00,14.18,14.46,14.135,14.315,136528,True
2024-01-09T00:00:00+00:00,14.39,14.39,14.105,14.15,127048,True
2024-01-10T00:00:00+00:00,14.19,14.4,14.135,14.2,208918,True
2024-01-11T00:00:00+00:00,14.34,14.34,13.7,13.995,241241,True
2024-01-12T00:00:00+00:00,14.0,14.08,13.705,13.81,230234,True
2024-01-15T00:00:00+00:00,13.85,13.96,13.76,13.805,130836,True
2024-01-16T00:00:00+00:00,13.805,13.86,13.56,13.755,208354,True
2024-01-17T00:00:00+00:00,13.795,13.9,13.63,13.85,151550,True
2024-01-18T00:00:00+00:00,13.9,13.9,13.7,13.7,99041,True
2024-01-19T00:00:00+00:00,13.765,13.78,13.5,13.7,136041,True
2024-01-22T00:00:00+00:00,13.71,14.045,13.635,13.9,245881,True
2024-01-23T00:00:00+00:00,14.1,14.95,13.935,14.895,1324424,True
2024-01-24T00:00:00+00:00,14.97,15.59,14.66,14.78,1640476,True
2024-01-25T00:00:00+00:00,14.88,15.19,14.6,14.975,456654,True
2024-01-26T00:00:00+00:00,15.13,15.34,14.83,14.965,417736,True
2024-01-29T00:00:00+00:00,15.0,15.165,14.875,15.05,250126,True
2024-01-30T00:00:00+00:00,15.105,15.6,15.05,15.28,686447,True
2024-01-31T00:00:00+00:00,15.42,15.835,15.235,15.465,643512,True
2024-02-01T00:00:00+00:00,15.56,15.67,15.315,15.34,275035,True
2024-02-02T00:00:00+00:00,15.34,15.4,15.02,15.3,304951,True
2024-02-05T00:00:00+00:00,15.37,15.475,15.22,15.405,276694,True
2024-02-06T00:00:00+00:00,15.445,16.165,15.415,16.065,612580,True
2024-02-07T00:00:00+00:00,16.07,18.25,16.065,17.69,3477339,True
2024-02-08T00:00:00+00:00,17.795,18.94,17.78,18.06,2634173,True
2024-02-09T00:00:00+00:00,18.3,18.3,17.07,17.355,1137105,True
2024-02-12T00:00:00+00:00,17.4,17.48,16.855,17.21,555263,True
2024-02-13T00:00:00+00:00,17.25,17.97,17.22,17.8,879049,True
2024-02-14T00:00:00+00:00,17.9,17.955,17.445,17.54,318627,True
2024-02-15T00:00:00+00:00,17.585,17.76,17.2,17.51,390250,True
2024-02-16T00:00:00+00:00,17.6,17.875,17.285,17.48,725979,True
2024-02-19T00:00:00+00:00,18.575,18.86,17.8,18.85,2210016,True
2024-02-20T00:00:00+00:00,18.865,19.15,17.67,18.25,1385718,True
2024-02-21T00:00:00+00:00,18.2,18.45,17.7,18.19,846481,True
2024-02-22T00:00:00+00:00,18.2,18.35,18.005,18.17,397984,True
2024-02-26T00:00:00+00:00,18.3,18.78,18.27,18.645,521378,True
2024-02-27T00:00:00+00:00,18.76,18.76,18.25,18.475,332593,True
2024-02-28T00:00:00+00:00,18.525,18.525,18.07,18.285,281091,True
2024-02-29T00:00:00+00:00,18.32,18.58,18.225,18.475,387464,True
2024-03-01T00:00:00+00:00,18.475,19.3,18.475,19.28,1587238,True
2024-03-04T00:00:00+00:00,19.385,19.48,18.92,19.17,964068,True
2024-03-05T00:00:00+00:00,19.2,19.33,18.92,19.28,339420,True
2024-03-06T00:00:00+00:00,19.35,19.695,19.155,19.565,742220,True
2024-03-07T00:00:00+00:00,19.62,19.815,19.5,19.59,564278,True
2024-03-11T00:00:00+00:00,19.695,19.77,18.58,19.4,492164,True
2024-03-12T00:00:00+00:00,19.45,19.45,18.6,19.215,454099,True
2024-03-13T00:00:00+00:00,19.265,19.44,19.1,19.175,283285,True
2024-03-14T00:00:00+00:00,19.18,19.225,18.66,19.03,456818,True
2024-03-15T00:00:00+00:00,19.225,19.295,18.86,18.97,357080,True
2024-03-18T00:00:00+00:00,19.06,19.47,18.65,19.32,558842,True
2024-03-19T00:00:00+00:00,19.3,19.44,18.8,19.06,389557,True
2024-03-20T00:00:00+00:00,19.125,19.165,18.735,18.865,247152,True
2024-03-21T00:00:00+00:00,18.95,19.115,18.815,19.1,175556,True
2024-03-22T00:00:00+00:00,19.155,19.225,18.45,18.79,386617,True
2024-03-25T00:00:00+00:00,18.77,19.0,18.655,18.905,214961,True
2024-03-26T00:00:00+00:00,18.91,19.175,18.88,19.03,172927,True
2024-03-27T00:00:00+00:00,19.05,19.085,18.77,18.94,121696,True
2024-03-28T00:00:00+00:00,18.965,18.98,18.81,18.955,130512,True
2024-03-29T00:00:00+00:00,18.97,19.445,18.97,19.35,478897,True
2024-04-01T00:00:00+00:00,19.3,20.0,19.3,19.905,862808,True
2024-04-02T00:00:00+00:00,19.91,19.95,19.58,19.76,287181,True
2024-04-03T00:00:00+00:00,19.78,20.3,19.71,20.255,969069,True
2024-04-04T00:00:00+00:00,20.255,20.26,19.955,20.05,259238,True
2024-04-05T00:00:00+00:00,20.05,20.17,19.815,19.98,192769,True
2024-04-08T00:00:00+00:00,20.0,20.05,19.86,20.01,168816,True
2024-04-09T00:00:00+00:00,20.02,20.02,19.505,19.685,318373,True
2024-04-10T00:00:00+00:00,19.695,19.95,19.42,19.545,260972,True
2024-04-11T00:00:00+00:00,19.58,19.68,19.21,19.285,202540,True
2024-04-12T00:00:00+00:00,19.285,19.445,19.16,19.23,201584,True
2024-04-15T00:00:00+00:00,19.3,19.615,19.25,19.41,219268,True
2024-04-16T00:00:00+00:00,19.455,19.49,19.225,19.27,104463,True
2024-04-17T00:00:00+00:00,19.37,19.37,19.1,19.145,109913,True
2024-04-18T00:00:00+00:00,19.12,19.15,18.86,19.08,164859,True
2024-04-19T00:00:00+00:00,19.1,19.19,18.94,19.165,105260,True
2024-04-22T00:00:00+00:00,19.17,19.4,19.035,19.125,169491,True
2024-04-23T00:00:00+00:00,19.185,19.25,18.92,18.985,132435,True
2024-04-24T00:00:00+00:00,18.99,19.115,18.84,19.035,114851,True
2024-04-25T00:00:00+00:00,19.055,19.145,18.92,19.07,101652,True
2024-04-26T00:00:00+00:00,19.07,19.19,19.0,19.075,129097,True
2024-04-27T00:00:00+00:00,19.085,19.25,19.045,19.14,115973,True
2024-04-29T00:00:00+00:00,19.14,19.175,19.015,19.15,56715,True
2024-04-30T00:00:00+00:00,19.18,19.18,19.02,19.05,53030,True
