time,open,high,low,close,volume,is_complete
2023-02-06T00:00:00+00:00,33.7,35.0,33.0,34.0,5306,True
2023-02-07T00:00:00+00:00,33.5,35.6,32.6,33.9,14444,True
2023-02-08T00:00:00+00:00,34.3,36.8,33.8,35.3,40886,True
2023-02-09T00:00:00+00:00,36.0,39.6,35.5,38.4,145331,True
2023-02-10T00:00:00+00:00,39.3,41.9,36.0,40.0,98135,True
2023-02-13T00:00:00+00:00,41.0,41.0,37.8,40.6,21234,True
2023-02-14T00:00:00+00:00,40.6,43.5,40.0,41.5,76769,True
2023-02-15T00:00:00+00:00,41.1,41.1,38.2,40.0,27793,True
2023-02-16T00:00:00+00:00,40.0,41.6,39.1,39.7,5788,True
2023-02-17T00:00:00+00:00,40.5,40.5,39.2,39.2,4647,True
2023-02-20T00:00:00+00:00,39.7,40.5,38.3,38.9,16745,True
2023-02-21T00:00:00+00:00,38.9,39.4,37.8,38.4,11655,True
2023-02-22T00:00:00+00:00,38.4,38.7,38.0,38.2,2451,True
2023-02-24T00:00:00+00:00,38.7,39.0,38.0,38.4,1794,True
2023-02-27T00:00:00+00:00,37.3,38.7,34.5,37.8,17460,True
2023-02-28T00:00:00+00:00,37.8,38.3,37.5,37.9,4080,True
2023-03-01T00:00:00+00:00,37.9,39.4,36.6,38.2,10423,True
2023-03-02T00:00:00+00:00,38.2,40.0,37.3,38.1,10709,True
2023-03-03T00:00:00+00:00,38.1,39.9,37.2,38.6,9951,True
2023-03-06T00:00:00+00:00,38.6,38.9,37.8,38.8,3052,True
2023-03-07T00:00:00+00:00,39.2,39.3,38.3,38.6,3418,True
2023-03-09T00:00:00+00:00,38.5,39.2,38.3,38.3,2386,True
2023-03-10T00:00:00+00:00,38.4,38.8,37.5,38.0,4761,True
2023-03-13T00:00:00+00:00,37.5,38.8,37.5,37.9,1846,True
2023-03-14T00:00:00+00:00,38.1,38.3,37.6,38.2,1273,True
2023-03-15T00:00:00+00:00,37.8,38.2,37.3,37.7,1346,True
2023-03-16T00:00:00+00:00,37.7,38.1,37.5,37.7,523,True
2023-03-17T00:00:00+00:00,38.1,38.1,37.5,37.6,918,True
2023-03-20T00:00:00+00:00,37.6,38.0,37.1,37.4,11909,True
2023-03-21T00:00:00+00:00,37.4,38.5,37.2,37.9,5353,True
2023-03-22T00:00:00+00:00,37.8,38.0,37.4,37.6,2573,True
2023-03-23T00:00:00+00:00,37.9,38.0,37.6,37.7,1366,True
2023-03-24T00:00:00+00:00,37.7,41.7,37.7,39.2,51336,True
2023-03-27T00:00:00+00:00,40.5,40.5,38.5,38.8,4266,True
2023-03-28T00:00:00+00:00,39.0,41.5,38.7,39.7,19699,True
2023-03-29T00:00:00+00:00,39.8,40.0,38.3,38.9,14377,True
2023-03-30T00:00:00+00:00,38.9,40.7,38.5,39.1,10432,True
2023-03-31T00:00:00+00:00,39.1,40.8,39.0,39.6,5377,True
2023-04-03T00:00:00+00:00,40.3,41.5,39.4,40.2,22900,True
2023-04-04T00:00:00+00:00,40.9,40.9,39.9,40.0,11167,True
2023-04-05T00:00:00+00:00,40.6,43.0,40.0,41.2,28868,True
2023-04-06T00:00:00+00:00,42.0,44.1,41.3,41.6,22891,True
2023-04-07T00:00:00+00:00,41.6,41.9,41.2,41.8,5020,True
2023-04-10T00:00:00+00:00,41.8,44.5,41.8,43.6,11646,True
2023-04-11T00:00:00+00:00,43.6,46.0,40.0,41.4,32787,True
2023-04-12T00:00:00+00:00,41.4,44.0,41.4,42.5,10804,True
2023-04-13T00:00:00+00:00,42.2,43.3,40.7,41.8,8457,True
2023-04-14T00:00:00+00:00,41.8,42.7,41.6,42.4,3449,True
2023-04-17T00:00:00+00:00,43.0,47.3,42.6,45.0,50675,True
2023-04-18T00:00:00+00:00,45.0,52.1,42.3,48.7,93406,True
2023-04-19T00:00:00+00:00,49.9,60.0,47.9,53.4,173458,True
2023-04-20T00:00:00+00:00,54.9,54.9,50.6,51.3,24857,True
2023-04-21T00:00:00+00:00,50.8,53.7,48.4,52.4,16254,True
2023-04-24T00:00:00+00:00,52.4,58.5,52.4,54.6,45072,True
2023-04-25T00:00:00+00:00,55.4,55.4,52.1,52.2,10652,True
2023-04-26T00:00:00+00:00,52.2,55.7,52.2,53.3,13643,True
2023-04-27T00:00:00+00:00,54.4,54.4,52.5,53.5,3701,True
2023-04-28T00:00:00+00:00,52.8,53.8,52.5,52.8,4115,True
2023-05-02T00:00:00+00:00,53.4,53.4,50.2,50.8,18657,True
2023-05-03T00:00:00+00:00,50.8,55.5,50.0,51.0,26021,True
2023-05-04T00:00:00+00:00,51.5,54.5,51.1,53.4,7772,True
2023-05-05T00:00:00+00:00,53.2,53.2,51.8,52.1,3948,True
2023-05-08T00:00:00+00:00,52.0,52.5,50.3,51.2,1919,True
2023-05-10T00:00:00+00:00,50.4,52.3,50.4,51.9,4978,True
2023-05-11T00:00:00+00:00,54.0,54.0,51.2,51.6,4064,True
2023-05-12T00:00:00+00:00,51.6,52.0,50.6,51.2,2033,True
2023-05-15T00:00:00+00:00,51.2,56.8,50.6,52.8,26431,True
2023-05-16T00:00:00+00:00,52.8,55.0,52.4,52.4,8968,True
2023-05-17T00:00:00+00:00,53.0,54.0,51.5,53.8,7263,True
2023-05-18T00:00:00+00:00,53.8,54.3,52.3,52.6,4173,True
2023-05-19T00:00:00+00:00,52.5,53.0,51.1,52.4,2547,True
2023-05-22T00:00:00+00:00,52.3,55.5,51.8,53.2,13714,True
2023-05-23T00:00:00+00:00,53.3,57.0,52.1,54.7,11067,True
2023-05-24T00:00:00+00:00,54.9,58.5,54.9,56.0,26102,True
2023-05-25T00:00:00+00:00,56.9,58.0,52.3,53.6,13027,True
2023-05-26T00:00:00+00:00,53.6,56.0,52.1,55.2,7431,True
2023-05-29T00:00:00+00:00,56.0,56.0,52.8,53.0,15640,True
2023-05-30T00:00:00+00:00,53.0,55.4,50.2,50.9,41016,True
2023-05-31T00:00:00+00:00,50.3,52.5,48.8,51.7,27643,True
2023-06-01T00:00:00+00:00,51.7,52.0,50.0,50.8,17507,True
2023-06-02T00:00:00+00:00,50.6,53.8,50.1,51.5,9906,True
2023-06-05T00:00:00+00:00,52.0,52.0,49.6,50.5,9516,True
2023-06-06T00:00:00+00:00,50.1,50.1,48.2,49.4,14183,True
2023-06-07T00:00:00+00:00,49.3,51.0,49.3,50.5,7022,True
2023-06-08T00:00:00+00:00,54.0,54.0,50.6,50.6,5117,True
2023-06-09T00:00:00+00:00,50.7,51.0,50.5,50.8,1925,True
2023-06-13T00:00:00+00:00,53.0,53.0,50.9,51.4,5502,True
2023-06-14T00:00:00+00:00,51.9,51.9,50.5,51.1,4512,True
2023-06-15T00:00:00+00:00,51.5,51.5,50.7,50.7,872,True
2023-06-16T00:00:00+00:00,50.7,51.4,50.4,50.6,5052,True
2023-06-19T00:00:00+00:00,50.6,51.3,50.1,50.7,2645,True
2023-06-20T00:00:00+00:00,51.0,52.9,50.8,51.1,9408,True
2023-06-21T00:00:00+00:00,51.3,54.0,51.0,52.3,10552,True
2023-06-22T00:00:00+00:00,52.3,55.0,51.8,51.8,19987,True
2023-06-23T00:00:00+00:00,51.9,52.3,50.0,51.0,6450,True
2023-06-26T00:00:00+00:00,48.8,52.0,48.8,50.7,10725,True
2023-06-27T00:00:00+00:00,51.7,51.8,50.5,51.0,2634,True
