time,open,high,low,close,volume,is_complete
2025-02-04T00:00:00+00:00,82.0,82.42,79.96,80.35,32273051,True
2025-02-05T00:00:00+00:00,80.35,82.88,79.05,82.09,36894812,True
2025-02-06T00:00:00+00:00,82.79,83.41,81.45,82.4,29299631,True
2025-02-07T00:00:00+00:00,82.3,82.97,80.74,81.19,31097116,True
2025-02-10T00:00:00+00:00,81.8,82.72,79.7,80.0,42254099,True
2025-02-11T00:00:00+00:00,80.24,82.11,80.07,82.11,27636653,True
2025-02-12T00:00:00+00:00,82.11,88.21,81.06,88.14,139119077,True
2025-02-13T00:00:00+00:00,88.59,89.87,85.06,89.54,141074899,True
2025-02-14T00:00:00+00:00,85.02,94.23,80.5,87.79,275071336,True
2025-02-17T00:00:00+00:00,90.44,98.77,90.04,98.76,342191024,True
2025-02-18T00:00:00+00:00,99.73,101.33,90.59,91.73,453800162,True
2025-02-19T00:00:00+00:00,92.9,94.97,90.73,94.5,189983768,True
2025-02-20T00:00:00+00:00,94.53,95.05,92.42,92.92,118970080,True
2025-02-21T00:00:00+00:00,92.61,93.58,90.74,92.36,94984522,True
2025-02-24T00:00:00+00:00,92.84,96.23,92.58,96.22,155021506,True
2025-02-25T00:00:00+00:00,96.45,97.44,93.4,93.68,198593547,True
2025-02-26T00:00:00+00:00,93.89,94.32,89.67,90.48,156378554,True
2025-02-27T00:00:00+00:00,90.47,91.82,89.05,89.3,104191752,True
2025-02-28T00:00:00+00:00,88.99,92.62,88.44,91.7,140903853,True
2025-03-01T00:00:00+00:00,92.0,92.19,91.02,91.73,2091351,True
2025-03-02T00:00:00+00:00,91.24,91.49,90.41,90.49,4943226,True
2025-03-03T00:00:00+00:00,90.49,91.75,88.12,90.77,104760894,True
2025-03-04T00:00:00+00:00,91.0,94.5,90.86,93.18,111086804,True
2025-03-05T00:00:00+00:00,93.3,93.49,90.38,90.52,100456586,True
2025-03-06T00:00:00+00:00,90.53,91.7,89.4,91.15,59628279,True
2025-03-07T00:00:00+00:00,91.18,93.81,88.5,91.07,159207500,True
2025-03-10T00:00:00+00:00,91.19,92.0,90.15,90.99,47162079,True
2025-03-11T00:00:00+00:00,91.29,91.86,89.5,90.7,64236484,True
2025-03-12T00:00:00+00:00,90.6,91.18,89.75,90.31,37364218,True
2025-03-13T00:00:00+00:00,90.01,91.67,87.6,89.86,114486726,True
2025-03-14T00:00:00+00:00,89.5,91.5,89.18,90.99,53064071,True
2025-03-15T00:00:00+00:00,91.13,91.22,90.95,91.02,1512265,True
2025-03-16T00:00:00+00:00,91.03,92.36,91.0,92.29,8047605,True
2025-03-17T00:00:00+00:00,92.5,93.75,91.2,92.6,84839865,True
2025-03-18T00:00:00+00:00,93.0,93.18,90.05,90.13,119458595,True
2025-03-19T00:00:00+00:00,90.38,91.25,89.3,90.65,58220298,True
2025-03-20T00:00:00+00:00,90.66,91.35,90.3,90.72,38319458,True
2025-03-21T00:00:00+00:00,90.62,91.33,89.58,89.82,43115370,True
2025-03-24T00:00:00+00:00,89.82,89.87,88.5,89.05,30074585,True
2025-03-25T00:00:00+00:00,88.82,91.45,87.74,90.99,71624735,True
2025-03-26T00:00:00+00:00,91.22,91.46,88.87,89.11,51942776,True
2025-03-27T00:00:00+00:00,89.02,89.9,87.0,87.07,60801126,True
2025-03-28T00:00:00+00:00,87.0,87.76,82.2,82.35,110478148,True
2025-03-29T00:00:00+00:00,82.56,82.6,81.59,81.59,5380604,True
2025-03-30T00:00:00+00:00,81.59,81.59,81.59,81.59,498304,True
2025-03-31T00:00:00+00:00,80.0,83.54,79.38,81.96,70743388,True
2025-04-01T00:00:00+00:00,82.04,83.46,78.55,78.78,67192645,True
2025-04-02T00:00:00+00:00,78.78,80.62,78.31,79.88,59011465,True
2025-04-03T00:00:00+00:00,80.02,80.89,75.7,77.86,76035974,True
2025-04-04T00:00:00+00:00,78.5,78.66,72.08,72.25,112565622,True
2025-04-05T00:00:00+00:00,72.02,72.9,72.02,72.32,8499673,True
2025-04-06T00:00:00+00:00,72.6,73.85,72.19,73.73,9847078,True
2025-04-07T00:00:00+00:00,72.07,72.7,67.76,70.89,155853500,True
2025-04-08T00:00:00+00:00,71.66,72.64,67.51,67.76,103817837,True
2025-04-09T00:00:00+00:00,67.34,73.49,66.1,73.28,167028382,True
2025-04-10T00:00:00+00:00,73.67,74.41,70.7,73.16,115277129,True
2025-04-11T00:00:00+00:00,73.25,76.84,72.96,76.76,86278762,True
2025-04-12T00:00:00+00:00,77.0,78.28,76.91,78.17,13869580,True
2025-04-13T00:00:00+00:00,78.1,78.24,77.7,78.19,7366879,True
2025-04-14T00:00:00+00:00,78.2,78.29,75.09,75.5,62802061,True
2025-04-15T00:00:00+00:00,75.88,77.47,75.23,77.1,71186705,True
2025-04-16T00:00:00+00:00,76.85,80.18,76.34,79.73,95919691,True
2025-04-17T00:00:00+00:00,79.74,83.37,79.73,83.28,99044151,True
2025-04-18T00:00:00+00:00,82.0,84.18,80.61,83.3,112129272,True
2025-04-21T00:00:00+00:00,84.0,85.87,83.65,85.39,72097960,True
2025-04-22T00:00:00+00:00,85.52,88.1,84.41,86.32,109837031,True
2025-04-23T00:00:00+00:00,86.35,86.59,83.4,85.4,88164757,True
2025-04-24T00:00:00+00:00,85.4,86.97,84.93,85.52,57477105,True
2025-04-25T00:00:00+00:00,86.4,87.78,85.92,87.24,78570788,True
2025-04-26T00:00:00+00:00,87.62,89.15,87.45,87.84,25940464,True
2025-04-27T00:00:00+00:00,88.0,88.26,87.65,87.93,5134555,True
2025-04-28T00:00:00+00:00,87.93,109.04,85.9,98.55,631171764,True
2025-04-29T00:00:00+00:00,98.75,100.62,95.08,97.3,252702303,True
2025-04-30T00:00:00+00:00,97.4,98.41,94.71,98.1,131778296,True
2025-05-02T00:00:00+00:00,98.44,98.45,96.07,96.6,55606044,True
2025-05-03T00:00:00+00:00,96.4,97.19,96.29,96.59,6527566,True
2025-05-04T00:00:00+00:00,96.59,97.39,96.56,97.13,7838190,True
2025-05-05T00:00:00+00:00,97.5,97.7,95.56,96.19,63328346,True
2025-05-06T00:00:00+00:00,96.35,98.28,95.92,97.42,61119518,True
2025-05-07T00:00:00+00:00,97.6,98.35,96.8,97.64,48283001,True
2025-05-08T00:00:00+00:00,97.8,98.82,97.35,97.75,29363640,True
2025-05-10T00:00:00+00:00,98.11,98.33,97.8,98.08,4666238,True
2025-05-11T00:00:00+00:00,98.8,99.86,98.5,99.07,20830726,True
2025-05-12T00:00:00+00:00,99.6,100.33,98.74,99.72,56983616,True
2025-05-13T00:00:00+00:00,99.81,100.09,98.91,99.17,32895260,True
2025-05-14T00:00:00+00:00,99.18,99.66,96.5,97.0,41130665,True
2025-05-15T00:00:00+00:00,97.0,98.0,96.05,97.25,46345691,True
2025-05-16T00:00:00+00:00,97.26,98.12,94.35,97.19,79756067,True
2025-05-17T00:00:00+00:00,97.3,98.48,97.14,98.32,8345597,True
2025-05-18T00:00:00+00:00,98.71,99.05,98.4,98.89,8765308,True
2025-05-19T00:00:00+00:00,98.96,98.96,96.55,96.97,37716670,True
2025-05-20T00:00:00+00:00,97.21,97.32,96.1,96.3,23438344,True
2025-05-21T00:00:00+00:00,96.33,97.03,95.31,95.65,21913342,True
2025-05-22T00:00:00+00:00,95.87,96.68,94.24,95.18,56593274,True
2025-05-23T00:00:00+00:00,95.23,96.27,95.01,95.5,21179104,True
2025-05-26T00:00:00+00:00,95.5,95.5,91.34,92.25,71220223,True
2025-05-27T00:00:00+00:00,92.25,94.28,90.22,93.59,53752749,True
2025-05-28T00:00:00+00:00,93.77,95.85,93.73,95.78,53930012,True
2025-05-29T00:00:00+00:00,95.87,95.98,93.87,94.17,30980421,True
2025-05-30T00:00:00+00:00,94.17,96.64,93.11,93.9,82178565,True
2025-05-31T00:00:00+00:00,94.0,94.36,93.77,93.87,3166785,True
2025-06-01T00:00:00+00:00,93.79,93.82,91.1,91.89,18943641,True
2025-06-02T00:00:00+00:00,91.89,94.15,91.51,93.47,42956625,True
2025-06-03T00:00:00+00:00,93.49,95.5,93.48,95.41,42716344,True
2025-06-04T00:00:00+00:00,95.4,96.86,94.55,95.1,63941642,True
2025-06-05T00:00:00+00:00,95.12,96.1,95.12,95.44,24214002,True
2025-06-06T00:00:00+00:00,95.5,98.5,92.82,93.27,97289727,True
2025-06-07T00:00:00+00:00,93.68,94.48,93.21,93.77,3711888,True
2025-06-08T00:00:00+00:00,93.83,93.96,93.38,93.64,2165872,True
2025-06-09T00:00:00+00:00,93.8,94.57,93.03,94.27,38520607,True
2025-06-10T00:00:00+00:00,94.4,95.04,93.25,93.5,29780096,True
2025-06-11T00:00:00+00:00,93.5,94.37,93.13,93.44,29526966,True
2025-06-13T00:00:00+00:00,96.4,98.38,95.31,98.12,75885452,True
2025-06-14T00:00:00+00:00,98.15,98.87,98.15,98.55,5831354,True
2025-06-15T00:00:00+00:00,98.76,99.42,98.36,99.18,12928840,True
2025-06-16T00:00:00+00:00,99.2,99.33,96.02,96.69,74831587,True
2025-06-17T00:00:00+00:00,96.69,98.65,96.3,97.85,50032999,True
2025-06-18T00:00:00+00:00,98.1,98.56,96.9,97.37,39139929,True
2025-06-19T00:00:00+00:00,97.61,98.6,97.0,97.97,64410178,True
2025-06-20T00:00:00+00:00,98.0,102.24,97.86,101.75,183512858,True
2025-06-23T00:00:00+00:00,102.42,104.95,101.8,104.23,131509164,True
2025-06-24T00:00:00+00:00,104.5,106.77,104.11,106.45,106541757,True
2025-06-25T00:00:00+00:00,106.66,107.58,105.04,107.48,77325861,True
2025-06-26T00:00:00+00:00,107.48,107.76,106.04,106.46,64378367,True
2025-06-27T00:00:00+00:00,106.77,107.13,106.16,106.75,46503521,True
2025-06-28T00:00:00+00:00,106.96,107.27,106.88,107.13,4205789,True
2025-06-29T00:00:00+00:00,107.14,107.77,107.14,107.28,8620056,True
2025-06-30T00:00:00+00:00,107.3,107.6,105.3,106.22,92263872,True
2025-07-01T00:00:00+00:00,106.22,107.2,102.62,104.69,182689358,True
2025-07-02T00:00:00+00:00,105.0,105.16,101.31,102.57,158811790,True
2025-07-03T00:00:00+00:00,102.61,103.13,99.61,99.94,107546620,True
2025-07-04T00:00:00+00:00,99.86,100.96,98.31,99.38,105454601,True
2025-07-05T00:00:00+00:00,99.55,99.67,99.3,99.39,3400795,True
2025-07-06T00:00:00+00:00,99.41,100.79,99.09,100.15,10343526,True
2025-07-07T00:00:00+00:00,100.47,100.47,96.27,96.6,107383156,True
2025-07-08T00:00:00+00:00,96.2,97.48,94.03,94.38,166997625,True
2025-07-09T00:00:00+00:00,94.5,95.78,92.82,94.45,127771946,True
2025-07-10T00:00:00+00:00,93.05,95.05,93.05,93.46,167592383,True
2025-07-11T00:00:00+00:00,71.0,74.9,70.91,72.79,307746735,True
2025-07-12T00:00:00+00:00,72.79,74.02,72.6,73.29,15958804,True
2025-07-13T00:00:00+00:00,73.55,73.59,72.22,72.8,11668009,True
2025-07-14T00:00:00+00:00,72.68,75.3,71.27,74.91,146998763,True
2025-07-15T00:00:00+00:00,75.07,78.92,74.81,78.85,153609402,True
2025-07-16T00:00:00+00:00,79.0,80.83,78.73,79.38,140970732,True
2025-07-17T00:00:00+00:00,79.6,80.3,77.18,78.02,100506088,True
2025-07-18T00:00:00+00:00,78.02,81.25,78.0,81.0,80456193,True
2025-07-19T00:00:00+00:00,81.35,82.96,81.3,82.76,29023234,True
2025-07-20T00:00:00+00:00,83.35,83.45,82.32,82.9,18726668,True
2025-07-21T00:00:00+00:00,82.9,83.48,81.38,82.05,83220220,True
2025-07-22T00:00:00+00:00,82.24,82.72,81.22,82.51,44677931,True
2025-07-23T00:00:00+00:00,82.51,83.0,82.12,82.6,57834655,True
2025-07-24T00:00:00+00:00,82.73,83.15,81.77,82.28,51338713,True
2025-07-25T00:00:00+00:00,82.4,84.46,81.8,83.6,141893529,True
2025-07-26T00:00:00+00:00,83.7,83.95,83.28,83.46,6211629,True
2025-07-27T00:00:00+00:00,83.5,83.63,82.97,83.3,5245841,True
2025-07-28T00:00:00+00:00,83.41,83.6,78.77,79.59,217147752,True
2025-07-29T00:00:00+00:00,79.6,80.23,77.4,78.72,146226966,True
2025-07-30T00:00:00+00:00,78.71,79.49,77.77,78.19,52789325,True
2025-07-31T00:00:00+00:00,77.96,81.28,75.01,77.77,323128915,True
2025-08-01T00:00:00+00:00,78.0,78.5,76.26,76.68,81945601,True
2025-08-04T00:00:00+00:00,76.68,76.94,75.86,76.62,54432346,True
2025-08-05T00:00:00+00:00,76.91,78.98,75.96,78.85,140085182,True
2025-08-06T00:00:00+00:00,78.97,80.26,77.21,79.6,130062144,True
2025-08-07T00:00:00+00:00,79.96,80.67,78.82,79.6,124453062,True
2025-08-08T00:00:00+00:00,79.62,80.77,79.18,80.53,84610393,True
2025-08-11T00:00:00+00:00,81.2,81.93,79.0,79.52,108437874,True
2025-08-12T00:00:00+00:00,79.52,80.08,78.83,79.38,37509664,True
2025-08-13T00:00:00+00:00,79.38,80.07,78.9,78.98,33863429,True
2025-08-14T00:00:00+00:00,78.9,80.5,78.4,80.28,51511279,True
2025-08-15T00:00:00+00:00,80.4,80.68,79.65,80.28,40097115,True
2025-08-16T00:00:00+00:00,79.1,79.37,78.0,79.0,16548345,True
2025-08-17T00:00:00+00:00,79.19,79.34,78.8,78.88,4592854,True
2025-08-18T00:00:00+00:00,79.09,80.8,78.71,80.1,48411896,True
2025-08-19T00:00:00+00:00,80.72,81.08,79.17,79.51,38056400,True
2025-08-20T00:00:00+00:00,79.63,79.78,77.61,77.99,40821288,True
2025-08-21T00:00:00+00:00,78.0,78.4,76.4,76.63,45777515,True
2025-08-22T00:00:00+00:00,76.8,77.52,76.1,76.98,28407778,True
2025-08-23T00:00:00+00:00,77.05,77.3,77.01,77.03,1285790,True
2025-08-24T00:00:00+00:00,77.1,77.21,76.8,76.93,1514125,True
2025-08-25T00:00:00+00:00,76.93,77.08,75.4,76.32,38883157,True
2025-08-26T00:00:00+00:00,76.5,77.08,75.89,76.4,24463356,True
2025-08-27T00:00:00+00:00,76.4,76.97,76.07,76.55,25064470,True
2025-08-28T00:00:00+00:00,76.65,76.87,75.46,75.9,31098014,True
2025-08-29T00:00:00+00:00,76.04,76.15,74.6,75.15,43527262,True
2025-08-30T00:00:00+00:00,75.2,75.27,74.97,75.04,2765970,True
2025-08-31T00:00:00+00:00,75.04,75.28,75.0,75.14,4333560,True
2025-09-01T00:00:00+00:00,75.2,76.09,74.4,74.79,40713695,True
2025-09-02T00:00:00+00:00,74.94,74.97,73.56,74.02,44575355,True
2025-09-03T00:00:00+00:00,74.02,75.34,73.17,75.13,45145535,True
2025-09-04T00:00:00+00:00,75.1,75.96,74.61,75.74,49552606,True
2025-09-05T00:00:00+00:00,75.85,76.13,74.94,75.5,40701093,True
2025-09-06T00:00:00+00:00,75.59,75.71,75.35,75.64,1681425,True
2025-09-07T00:00:00+00:00,75.69,75.85,75.5,75.68,2186520,True
2025-09-08T00:00:00+00:00,75.68,76.05,74.85,75.23,31765976,True
2025-09-09T00:00:00+00:00,75.23,75.36,74.46,74.97,36297719,True
2025-09-10T00:00:00+00:00,74.83,75.0,73.9,74.1,30344127,True
2025-09-11T00:00:00+00:00,74.1,78.59,73.72,77.86,244182377,True
2025-09-12T00:00:00+00:00,77.86,78.15,75.35,75.86,168288339,True
2025-09-13T00:00:00+00:00,75.94,76.17,75.64,76.0,4718687,True
2025-09-14T00:00:00+00:00,76.02,76.51,75.92,76.38,6941025,True
2025-09-15T00:00:00+00:00,76.53,76.65,73.6,74.11,106676819,True
2025-09-16T00:00:00+00:00,74.0,75.5,72.5,72.97,170234984,True
2025-09-17T00:00:00+00:00,73.1,73.69,71.81,72.09,116632728,True
2025-09-18T00:00:00+00:00,72.2,72.88,71.1,71.83,129722877,True
2025-09-19T00:00:00+00:00,71.79,72.18,69.31,71.54,452776188,True
2025-09-22T00:00:00+00:00,71.82,72.15,70.01,70.94,138252439,True
2025-09-23T00:00:00+00:00,70.94,72.15,69.68,70.25,110811058,True
2025-09-24T00:00:00+00:00,70.25,71.28,69.88,70.78,87477449,True
2025-09-25T00:00:00+00:00,70.84,71.05,69.73,69.97,48973034,True
2025-09-26T00:00:00+00:00,70.0,70.19,67.84,69.19,150982234,True
2025-09-27T00:00:00+00:00,69.2,69.47,68.9,69.01,3997668,True
2025-09-28T00:00:00+00:00,69.17,69.18,68.78,69.0,4875131,True
2025-09-29T00:00:00+00:00,69.15,70.29,67.9,68.2,107407639,True
2025-09-30T00:00:00+00:00,68.22,68.99,67.5,68.16,101209379,True
2025-10-01T00:00:00+00:00,68.35,68.69,67.65,67.96,61679590,True
